GEO_CODE,GEO_LABEL,socialrented,Noqualifications ,Car_or_van,Deprivation_classification_of_household,%obese,,
E05006945,Chadsmead,1654,804,432,554,26.50488285,,
E05000498,Chadwell,1388,1985,1430,1730,23.19201995,,
E05000029,Chadwell Heath,3147,2203,1360,1339,22.51461988,,
E05002231,Chadwell St Mary,3351,2902,918,1397,13.33333333,,
E05002232,Chafford and North Stifford,172,741,212,868,11.502521,,
E05003642,Chagford,126,206,90,233,11.2,,
E05003946,Chailey and Wivelsfield,541,582,129,593,14.87603306,,
E05007391,Chaldon,21,244,33,196,12.8440367,,
E05008484,"Chale, Niton and Whitwell",261,513,165,446,8.844264455,,
E05002638,Chalfont Common,151,437,94,437,11.11111111,,
E05002639,Chalfont St Giles,481,677,166,822,13.08415115,,
E05004385,Chalford,237,634,205,794,26.35135135,,
E05006573,Chalgrove,340,440,80,341,13.39712919,,
E05004965,Chalk,48,469,133,343,19.52174162,,
E05002214,Chalkwell,264,1716,1186,1437,25.31343118,,
E05005059,Chalkwell,499,1125,594,738,23.45628967,,
E05002196,Challney,1522,2605,936,1750,22.28042307,,
E05002338,Chalvey,1780,1895,1509,1642,13.23269815,,
E05007649,Chanctonbury,336,986,144,998,14.04013378,,
E05004501,Chandler's Ford East,205,722,317,673,14.01888182,,
E05004502,Chandler's Ford West,294,690,281,806,22.68803864,,
E05007650,Chantry,1384,1537,519,1457,20.81966488,,
E05001419,Chapel Allerton,6634,3995,4318,3090,17.43589744,,
E05003393,Chapel East,232,411,145,297,26.96289158,,
E05000592,Chapel End,2097,2001,1792,1712,29.06976744,,
E05005562,Chapel St Leonards,292,2069,481,841,17.43589744,,
E05003394,Chapel West,264,786,287,613,14.65589894,,
E05006826,Chard Avishayes,522,540,192,407,21.96379374,,
E05006827,Chard Combe,341,487,257,365,21.91011236,,
E05006828,Chard Crimchard,302,497,140,400,22,,
E05006829,Chard Holyrood,788,849,385,551,21.91011236,,
E05006830,Chard Jocelyn,527,585,232,364,22,,
E05002049,Charfield,282,706,76,436,13.051051,,
E05007826,Charford,1951,1318,727,791,22.33676976,,
E05004873,Charing,325,503,141,355,15.83710407,,
E05006636,Charlbury and Finstock,445,504,223,517,12.98701299,,
E05001263,Charlemont with Grove Vale,1775,2911,1365,1689,27.34918331,,
E05002443,Charles Dickens,10796,4773,4854,2681,24.75643836,,
E05000693,Charlestown,5994,3799,2701,1998,26.08620401,,
E05000216,Charlton,5813,2339,2538,1810,24.51499118,,
E05004636,Charlton,83,313,90,271,19.76047904,,
E05004291,Charlton Kings,281,689,340,648,12.17183771,,
E05004292,Charlton Park,115,495,270,692,9.039548023,,
E05007317,Charlwood,209,387,56,286,18.75,,
E05003746,Charminster and Cerne Valley,585,652,196,686,16.50461364,,
E05003747,Charmouth,254,306,132,333,11.21076233,,
E05005334,Charnock,267,678,253,507,12.65490389,,
E05001790,Charnwood,4409,3753,2045,1550,13.14878893,,
E05003563,Charterlands,219,243,53,291,21.69981185,,
E05004905,Chartham and Stone Street,629,761,218,685,22.81051411,,
E05007015,Chartley,56,278,48,245,16.92307692,,
E05002375,Charvil,273,253,52,288,20.67669173,,
E05000328,Charville,1096,2107,879,1594,22.69074769,,
E05000195,Chase,2783,2402,1582,1843,17.43589744,,
E05007849,Chase,900,1055,532,967,25.33164459,,
E05006946,Chase Terrace,373,1074,264,657,5.369127517,,
E05006947,Chasetown,1073,946,359,534,15.29411765,,
E05005296,Chatburn,106,236,60,165,29.87835976,,
E05000233,Chatham,6801,2184,3854,1999,19.05267811,,
E05002249,Chatham Central,2822,3399,2301,2204,18.01952358,,
E05003349,Chatsworth,125,231,89,267,18.42917207,,
E05000537,Chaucer,6548,1457,4286,2592,14.38239909,,
E05008556,Chaucer,258,521,139,430,19.3249568,,
E05004702,Chaulden and Warners End,2714,1676,698,1239,19.36313677,,
E05000784,Cheadle and Gatley,872,2090,941,1852,21.81355349,,
E05000785,Cheadle Hulme North,1105,2001,1050,1804,15.46900847,,
E05000786,Cheadle Hulme South,696,1475,675,1607,14.98490213,,
E05007049,Cheadle North East,498,990,308,466,14.28571429,,
E05007050,Cheadle South East,374,876,305,453,10.546875,,
E05007051,Cheadle West,279,1112,321,622,17.04755205,,
E05000560,Cheam,214,1204,531,1224,15.51724138,,
E05007052,Checkley,329,1077,220,793,8.8,,
E05007168,Chedburgh,185,325,36,309,25.07060492,,
E05008905,Cheddar and Shipham,423,1104,348,903,10.08300098,,
E05002601,Cheddington,217,307,89,356,19.49152542,,
E05007053,Cheddleton,153,961,187,758,26.01626016,,
E05005915,Chedgrave and Thurton,290,545,101,373,16.67311685,,
E05004314,Chedworth,121,205,50,203,17.95196288,,
E05000694,Cheetham,6779,4377,4116,3043,19.10233929,,
E05008617,Chelford,215,517,117,513,20.96585438,,
E05001774,Chellaston,1900,2425,1113,1788,15.82545845,,
E05004807,Chells,1706,1195,524,948,22.70023611,,
E05004099,Chelmer Village and Beaulieu Park,1227,1032,458,1225,17.84386617,,
E05004100,Chelmsford Rural West,247,451,57,407,16.59505125,,
E05001287,Chelmsley Wood,5402,3827,2424,1894,27.04398525,,
E05000110,Chelsfield and Pratts Bottom,638,1924,742,1805,22.75865154,,
E05004654,Cheriton and Bishops Sutton,199,256,41,241,19.97602273,,
E05002705,Cherry Hinton,1992,1369,985,1192,17.5955599,,
E05005698,Cherry Willingham,227,890,233,631,20.94119339,,
E05000865,Cherryfield,1472,2044,1106,981,12.27722772,,
E05007350,Chertsey Meads,803,972,354,833,10.42944785,,
E05007352,Chertsey South and Row Town,369,885,191,682,23.63169203,,
E05007351,Chertsey St Ann's,1328,1401,481,958,26.98024241,,
E05004765,Chesfield,830,693,177,730,18.44629824,,
E05002640,Chesham Bois and Weedon Hill,106,340,181,530,18.359375,,
E05004680,Cheshunt Central,750,1665,697,1130,19.18667478,,
E05004681,Cheshunt North,1160,1711,564,1111,21.76930293,,
E05003748,Chesil Bank,151,306,74,341,17.4052733,,
E05006990,Cheslyn Hay North and Saredon,430,970,235,555,12.44797463,,
E05006991,Cheslyn Hay South,419,725,184,468,16.77120705,,
E05000404,Chessington North and Hook,1364,1523,648,1135,17.64705882,,
E05000405,Chessington South,1299,1550,628,1356,20.7446185,,
E05008664,Chester City,986,743,1023,679,27.37752161,,
E05008665,Chester Villages,313,944,279,1014,15.65656566,,
E05007967,Chester-le-Street North and East,670,1556,945,1231,12.06443146,,
E05007968,Chester-le-Street South,864,1345,749,1103,16.11111111,,
E05007969,Chester-le-Street West Central,2501,1989,1276,1045,11.72839506,,
E05006967,Chesterton,1454,1625,665,861,7.602339181,,
E05004906,Chestfield and Swalecliffe,460,1827,599,1275,7.602339181,,
E05008151,Cheswardine,463,741,89,525,11.48877762,,
E05002718,Cheveley,352,728,192,555,18.98606373,,
E05008032,Chevington with Longhorseley,834,1248,352,601,16.02771038,,
E05001940,Chew Valley North,168,318,67,290,12.77409857,,
E05001941,Chew Valley South,167,341,66,300,16.45607142,,
E05006764,Chewton Mendip and Ston Easton,46,303,33,262,15.24577399,,
E05001220,Cheylesmore,1356,3117,1987,2293,14.60674157,,
E05007605,Chichester East,2629,1304,1222,1251,7.382550336,,
E05007606,Chichester North,691,599,557,1068,14.36170213,,
E05007607,Chichester South,1271,1020,965,1074,13.46687032,,
E05007608,Chichester West,1078,944,624,735,12.36384855,,
E05003749,Chickerell,640,1109,394,787,22.32142857,,
E05007414,Chiddingfold and Dunsfold,405,475,111,457,22.32142857,,
E05003988,Chiddingly and East Hoathly,217,400,59,370,22.39054079,,
E05003750,Chideock and Symondsbury,79,320,72,296,16.10297119,,
E05002295,Chieveley,155,269,37,250,17.86081757,,
E05004150,Chigwell Row,127,438,71,304,25,,
E05004151,Chigwell Village,142,545,121,480,19.72477064,,
E05000045,Childs Hill,2269,2226,3220,2850,15.90909091,,
E05000890,Childwall,744,2213,1094,1562,16.7475972,,
E05002679,Chiltern Rise,906,804,223,678,19.47674476,,
E05006574,Chiltern Woods,189,230,42,258,8.906882591,,
E05007970,Chilton,1533,2261,1102,1223,13.8047138,,
E05006410,Chilwell East,255,877,397,677,12.83954702,,
E05006411,Chilwell West,1448,1604,876,1068,11.91222571,,
E05004637,"Chilworth, Nursling and Rownhams",275,861,182,769,16.08381581,,
E05004438,Chineham,794,619,294,1033,17.35723349,,
E05000593,Chingford Green,1320,2049,1134,1483,17.14472262,,
E05006575,Chinnor,326,792,169,733,14.86486486,,
E05008345,Chippenham Cepen Park and Derriads,183,394,116,464,15.11632292,,
E05008346,Chippenham Cepen Park and Redlands,820,676,297,596,18.30985915,,
E05008347,Chippenham Hardenhuish,954,648,309,553,15.95744681,,
E05008348,Chippenham Hardens and England,852,542,457,575,22.43902439,,
E05008349,Chippenham Lowden and Rowden,1125,800,537,652,17.85261664,,
E05008350,Chippenham Monkton,388,627,353,613,13.46938776,,
E05008351,Chippenham Pewsham,180,354,160,538,13.88888889,,
E05008352,Chippenham Queens and Sheldon,920,786,383,628,25.88462713,,
E05005297,Chipping,76,217,37,159,14.7133495,,
E05006637,Chipping Norton,1077,1090,537,894,14.36471503,,
E05004152,"Chipping Ongar, Greensted and Marden Ash",304,778,210,581,18.38033487,,
E05002050,Chipping Sodbury,514,1076,347,954,11.5934657,,
E05007330,"Chipstead, Hooley and Woodmansterne",591,1032,214,965,12.27442098,,
E05008152,Chirbury and Worthen,211,544,95,457,11.11111111,,
E05001118,Chirton,4502,2979,2634,1795,13.24503311,,
E05000111,Chislehurst,841,1920,918,1895,8,,
E05005168,Chisnall,202,753,159,552,13.37846678,,
E05000348,Chiswick Homefields,1674,858,1656,1413,22.05323194,,
E05000349,Chiswick Riverside,1749,867,1463,1358,19.32121048,,
E05003539,Chittlehampton,107,426,75,321,26.78571429,,
E05007377,Chobham,334,565,168,487,22.76119403,,
E05002641,"Cholesbury, The Lee and Bellingdon",113,248,55,261,16.61667035,,
E05006576,Cholsey and Wallingford South,586,693,238,639,16.34980989,,
E05008033,Choppington,1414,1166,604,676,18.36734694,,
E05001070,Chopwell and Rowlands Gill,1940,2058,1273,1301,10.64781921,,
E05005169,Chorley East,1367,1669,985,944,15.5369375,,
E05005170,Chorley North East,1170,1379,745,992,15.18508358,,
E05005171,Chorley North West,179,1078,543,832,18.62894437,,
E05005172,Chorley South East,796,1393,844,926,22.78908194,,
E05005173,Chorley South West,1765,1503,787,1007,14.08363883,,
E05004822,Chorleywood East,37,387,94,458,23.05425567,,
E05004823,Chorleywood West,316,433,208,624,8.79646276,,
E05000695,Chorlton,899,1377,1591,1545,17.75700935,,
E05000696,Chorlton Park,3752,2103,1945,1827,14.85148515,,
E05001071,Chowdene,2591,2305,1509,1356,17.36526946,,
E05004123,Christ Church,186,332,384,553,15.55024636,,
E05000069,Christchurch,383,1886,927,1493,15.9026385,,
E05003118,Christchurch,284,581,349,507,17.82426523,,
E05004536,Christchurch,553,749,704,769,25.63123882,,
E05007290,Christchurch,159,316,204,598,24.45785898,,
E05004342,Christchurch and English Bicknor,52,284,48,204,17.30017564,,
E05003597,Chudleigh,555,984,257,776,22.02380952,,
E05003540,Chulmleigh,160,393,84,348,23.00187202,,
E05000671,Church,638,1852,811,1511,15.59139785,,
E05000891,Church,321,1711,1237,1770,28.34951456,,
E05000936,Church,2077,2581,2222,1652,16.2357033,,
E05002322,Church,2724,1799,936,1160,17.5,,
E05005210,Church,1041,1304,862,635,18.53785901,,
E05001885,Church Aston and Lilleshall,209,504,92,399,18.53785901,,
E05004549,Church Crookham East,175,583,129,610,15.3466271,,
E05004550,Church Crookham West,168,389,113,557,27.98147633,,
E05007016,Church Eaton,175,369,54,297,20,,
E05000499,Church End,810,1160,1241,1562,16.14583333,,
E05008810,Church Gresley,641,1284,505,908,15.26315789,,
E05007872,Church Hill,2302,1770,810,1132,15.34090909,,
E05004180,Church Langley,335,1022,199,1113,5.263157895,,
E05000634,Church Street,7005,2537,3406,1464,24.46236559,,
E05008153,Church Stretton and Craven Arms,1213,1649,671,1426,24.46236559,,
E05004343,Churcham and Huntley,90,334,63,246,25.69553739,,
E05008565,Churchdown Brookfield,173,553,228,597,25.27189464,,
E05004412,Churchdown St John's,679,899,416,890,26.8433111,,
E05000633,Churchill,5122,1467,3045,1598,28.27306912,,
E05006548,Churchill,2367,1019,1050,904,13.2,,
E05007563,Churchill,605,1122,519,753,11.23884589,,
E05004315,Churn Valley,154,259,38,221,14.95327103,,
E05006923,Churnet,399,639,157,365,8.761329305,,
E05007054,Churnet,330,722,182,455,23.23425223,,
E05002100,Churston-with-Galmpton,250,1429,410,1169,22.9889676,,
E05004344,Cinderford East,621,877,345,498,12.5,,
E05004345,Cinderford West,862,1246,566,739,14.97005988,,
E05002339,Cippenham Green,1205,1418,596,1264,23.28209022,,
E05002340,Cippenham Meadows,2046,1407,763,1545,24.46653495,,
E05004316,Cirencester Beeches,815,663,264,542,9.860169633,,
E05004317,Cirencester Chesterton,801,619,256,507,10.24599485,,
E05004318,Cirencester Park,410,563,560,579,26.02339181,,
E05004319,Cirencester Stratton-Whiteway,271,436,147,457,12.14732406,,
E05004320,Cirencester Watermoor,1167,802,541,665,13.93614325,,
E05001347,City,2949,4839,4569,2947,20.62246923,,
E05001420,City and Hunslet,6370,5255,8965,6799,9.777777778,,
E05000697,City Centre,750,500,4740,3920,23.27894074,,
E05007884,Claines,250,1228,434,1053,25.59055118,,
E05001487,Clairville,1547,1419,974,739,23.22274882,,
E05007291,Clandon and Horsley,547,785,202,914,23.30562959,,
E05004467,Clanfield and Finchdean,289,568,135,623,15.19607843,,
E05008755,Clapham,419,737,266,633,NA,,
E05000418,Clapham Common,2729,902,2614,1614,22.76264591,,
E05000419,Clapham Town,4029,1283,3490,1991,20.76923077,,
E05007169,Clare,278,416,154,341,27.53041539,,
E05003514,Clare and Shuttern,267,613,133,518,25.502841,,
E05000763,Claremont,404,1838,971,1264,12.54480287,,
E05001647,Claremont,996,2306,2144,1064,16.62707838,,
E05004787,Clarence,437,377,439,682,13.64253639,,
E05007546,Clarendon,703,648,962,1062,25.58079005,,
E05002738,Clarkson,382,600,318,361,16.78832117,,
E05006241,Claro,193,403,83,383,16.66666667,,
E05000958,Clatterbridge,383,2013,662,1902,11.87330707,,
E05000959,Claughton,1724,2912,1719,2043,25.68500304,,
E05007517,Claverdon,253,325,58,260,26.58227848,,
E05004265,Clavering,134,227,37,168,26.58227848,,
E05003420,Clay Cross North,1336,1650,763,900,19.91961928,,
E05003421,Clay Cross South,1325,1215,493,550,19.9084191,,
E05002296,Clay Hill,1452,1106,441,881,16.38655462,,
E05005789,Claydon,2648,2222,1271,1128,14.48467768,,
E05007137,Claydon and Barham,372,935,187,649,16.38655462,,
E05007251,Claygate,570,749,277,830,16.38655462,,
E05000500,Clayhall,410,1753,602,1484,28.04587696,,
E05006968,Clayton,750,978,428,611,21.65605096,,
E05001348,Clayton and Fairweather Green,2120,3605,1851,2113,17.09512081,,
E05005298,Clayton-le-Dale with Ramsgreave,58,407,82,324,23.17828148,,
E05005211,Clayton-le-Moors,443,978,487,645,15.6018748,,
E05005174,Clayton-le-Woods and Whittle-le-Woods,401,798,262,871,14.63205862,,
E05005175,Clayton-le-Woods North,2347,1315,729,970,13.49680443,,
E05005176,Clayton-le-Woods West and Cuerden,349,656,177,521,17,,
E05006380,Clayworth,131,345,69,259,14.14141414,,
E05001139,Cleadon and East Boldon,234,1011,481,1158,21.99594277,,
E05001140,Cleadon Park,3078,1817,1249,1030,18.42644686,,
E05003184,Cleator Moor North,869,1007,478,558,15.46507569,,
E05003185,Cleator Moor South,749,747,401,396,16.98218417,,
E05001393,Cleckheaton,1698,3343,1716,2438,19.34912745,,
E05008154,Clee,427,908,162,634,16.04278075,,
E05008566,Cleeve Grange,134,357,151,323,22.32071336,,
E05008567,Cleeve Hill,171,488,89,520,19.52380952,,
E05008568,Cleeve St Michael's,941,827,365,634,22.30270934,,
E05004416,Cleeve West,268,405,192,550,20.93023256,,
E05000501,Clementswood,1375,1997,1898,1741,8.24742268,,
E05005804,Clenchwarton,164,617,96,333,19.51064341,,
E05008155,Cleobury Mortimer,709,1512,242,944,NA,,
E05000370,Clerkenwell,4510,1524,3596,1792,16.7539267,,
E05002010,Clevedon Central,442,592,369,451,12.35955056,,
E05002011,Clevedon East,347,531,242,480,20.4431289,,
E05002012,Clevedon North,106,392,246,403,23.64108044,,
E05002013,Clevedon South,106,491,181,481,19.90049751,,
E05002014,Clevedon Walton,18,409,62,366,13.92045455,,
E05002015,Clevedon West,149,427,179,426,18.27956989,,
E05002016,Clevedon Yeo,174,426,142,436,25.24040186,,
E05000171,Cleveland,3087,1493,1819,1787,10.71428571,,
E05005389,Cleveleys Park,358,1578,608,967,17.84782989,,
E05002355,Clewer East,867,709,410,621,15.24198386,,
E05002356,Clewer North,1571,1272,550,1118,14.77092588,,
E05002357,Clewer South,1120,923,444,729,14.82758621,,
E05005623,Cliff Villages,435,817,203,713,13.10344828,,
E05000825,Clifford,4001,2284,2024,1537,23.59207581,,
E05005086,Cliffsend and Pegwell,105,926,336,739,17.13267682,,
E05001648,Clifton,1599,1931,1203,1028,18.75,,
E05001747,Clifton,2748,2279,2099,1797,27.4253406,,
E05001980,Clifton,692,485,1293,1574,14.63414634,,
E05003119,Clifton,434,462,151,208,15.94202899,,
E05005188,Clifton,110,692,465,738,18.65671642,,
E05003350,Clifton and Bradley,36,287,52,241,15.97938144,,
E05001981,Clifton East,351,299,1353,1546,19.94291001,,
E05001831,Clifton North,2169,3188,1681,1772,16.4021164,,
E05001832,Clifton South,3927,4256,2559,2091,20.85746442,,
E05002101,Clifton-with-Maidenway,165,1531,573,1056,21.36752137,,
E05005087,Cliftonville East,144,1553,567,1081,29.86425339,,
E05005088,Cliftonville West,672,2401,2010,1312,14.77272727,,
E05003620,Clinton,41,322,42,218,23.58490566,,
E05005950,Clipston,162,228,28,213,15.67567568,,
E05006472,Clipstone,862,1007,376,547,25.45931759,,
E05000234,Clissold,3964,1417,3008,1669,18.98629295,,
E05005153,Cliviger with Worsthorne,89,867,231,724,13.77245509,,
E05000112,Clock House,1658,1902,2001,2035,12.82051282,,
E05003621,Clovelly Bay,71,331,77,266,21.7799347,,
E05005255,Clover Hill,533,1334,800,731,16.44483922,,
E05003308,Clowne North,518,952,400,505,11.05263158,,
E05003309,Clowne South,291,877,281,489,11.18421053,,
E05000892,Clubmoor,6497,5079,3230,2075,15.94652087,,
E05008156,Clun,364,696,119,633,18.75,,
E05001942,Clutton,183,397,62,269,19.97632015,,
E05003464,Clyst Valley,46,371,77,378,15.2173913,,
E05003422,Coal Aston,121,660,189,514,23.48993289,,
E05005154,Coal Clough with Deerplay,836,1141,559,720,11.9133574,,
E05004386,Coaley and Uley,249,277,70,294,10.20408163,,
E05005518,Coalville,811,1424,665,827,28.50909101,,
E05005542,Coastal,480,1141,145,544,25.33372511,,
E05005256,Coates,393,1107,519,730,24.01315789,,
E05001506,Coatham,304,1239,1219,876,22.73901809,,
E05007252,Cobham and Downside,510,808,306,791,26.30935172,,
E05007253,Cobham Fairmile,610,532,172,472,13.33403064,,
E05001555,Cockerton East,927,1014,505,654,17.77108434,,
E05001556,Cockerton West,1723,1134,835,589,17.77108434,,
E05000196,Cockfosters,1333,2166,1173,1683,12.67039355,,
E05002102,Cockington-with-Chelston,499,1897,791,1503,10.09291207,,
E05004766,Codicote,350,363,141,365,13.36898396,,
E05003286,Codnor and Waingroves,500,1317,364,657,15.35580524,,
E05006992,Codsall North,645,804,345,574,15.35580524,,
E05006993,Codsall South,108,604,127,501,23.61525836,,
E05004046,Coggeshall and North Feering,691,924,332,714,10.67693067,,
E05003622,Coham Bridge,48,352,41,237,15.80882353,,
E05007564,Cokeham,466,1034,331,657,6.606412551,,
E05006831,Coker,739,903,247,723,17.12045571,,
E05008216,Colan and Mawgan,209,820,166,558,23.0504838,,
E05006278,Colburn,1010,847,432,610,21.53003997,,
E05002297,Cold Ash,197,307,47,336,22.8,,
E05004655,Colden Common and Twyford,630,726,223,681,9.467455621,,
E05000420,Coldharbour,9858,2321,4956,2620,20.80536913,,
E05002602,Coldharbour,788,1002,448,1063,15.81632653,,
E05004966,Coldharbour,1489,1222,628,658,18.1651523,,
E05000217,Coldharbour and New Eltham,2713,2699,1315,1774,16.4021164,,
E05000723,Coldhurst,4599,3845,2318,1351,15.38954514,,
E05006765,Coleford and Holcombe,562,901,206,656,26.93377132,,
E05004346,Coleford Central,470,781,330,485,12.01950407,,
E05004347,Coleford East,975,1255,354,759,26.2295082,,
E05003673,Colehill East,345,593,139,631,19.06239488,,
E05003674,Colehill West,35,212,40,264,11.84210526,,
E05001791,Coleman,2711,3961,1871,1722,11.11111111,,
E05002706,Coleridge,1895,1186,1302,1330,24.54894031,,
E05007462,Coleshill North,123,556,162,413,22.34496543,,
E05007463,Coleshill South,369,747,288,489,22.00956938,,
E05000046,Colindale,5765,2387,2471,2518,15.2485067,,
E05000538,College,3165,1278,2045,1523,14.39393939,,
E05001557,College,122,415,314,486,15.26717557,,
E05001886,College,570,635,403,454,10.50171722,,
E05004293,College,154,471,652,776,21.79872558,,
E05005273,College,176,480,212,430,11.90539951,,
E05007274,College,164,529,279,639,12.29061788,,
E05008034,College,1356,1381,960,765,13.60759494,,
E05008600,College,388,914,537,700,19.07756813,,
E05000253,College Park and Old Oak,4681,1681,2319,1513,16.01864231,,
E05002275,College Town,362,730,208,636,14.81441566,,
E05000457,Colliers Wood,1347,1218,1952,1608,14.64646465,,
E05006473,Collingham and Meering,311,857,224,684,17.21156897,,
E05003969,Collington,101,989,379,838,19.97672312,,
E05001119,Collingwood,2659,2413,1548,1670,15.59424926,,
E05002341,Colnbrook with Poyle,886,824,421,996,21.87458371,,
E05008559,Colne Valley,1057,2876,1521,2366,23.10231023,,
E05004788,Colney Heath,982,646,236,630,16.96428571,,
E05005763,Coltishall,358,538,127,398,13.57267349,,
E05006948,Colton and Mavesyn Ridware,179,383,54,227,15.48581312,,
E05000385,Colville,3923,940,2781,1575,15.34176676,,
E05003465,Coly Valley,470,773,229,754,16.02837909,,
E05000070,Colyers,3022,2174,1236,1594,8.391608392,,
E05001943,Combe Down,1364,792,609,742,19.25970192,,
E05003541,Combe Martin,137,772,213,598,16.99169327,,
E05002797,Comberton,217,261,87,283,17.64804801,,
E05006862,Comeytrowe,216,811,346,845,15.58935361,,
E05007017,Common,478,777,643,688,22.61039721,,
E05002079,Compton,560,1610,1155,1729,12.04425605,,
E05002298,Compton,627,377,99,321,16.4556962,,
E05006492,Compton Acres,30,418,167,471,19.67213115,,
E05004656,Compton and Otterbourne,226,382,90,410,10.71428571,,
E05008618,Congleton East,1993,2379,877,1664,14.08934708,,
E05008619,Congleton West,1119,2464,964,1791,11.89108796,,
E05002017,Congresbury,332,522,134,432,15.29411765,,
E05005724,Conifer,170,484,79,311,17.56943998,,
E05005563,Coningsby and Tattershall,570,1346,364,866,12.1761658,,
E05001004,Conisbrough and Denaby,3961,4561,2154,1795,12.1761658,,
E05003241,Coniston and Crake Valley,188,243,68,266,10.25529495,,
E05003934,Conquest,70,897,263,780,18.35483739,,
E05007971,Consett North,981,1864,1230,1156,11.92761827,,
E05008217,Constantine,347,694,181,719,25.68462147,,
E05007932,Cookley,388,621,174,373,13.11062774,,
E05000406,Coombe Hill,1158,897,840,1214,19.85756394,,
E05008569,Coombe Hill,305,787,184,660,17.6927162,,
E05000407,Coombe Vale,656,901,701,1098,17.87234043,,
E05000113,Copers Cope,1511,1613,2185,2434,15.16592899,,
E05004124,Copford and West Stanway,76,281,62,205,18.07228916,,
E05002444,Copnor,387,2060,1003,1721,20.14090389,,
E05000047,Coppetts,2295,2081,2089,2216,17.18203699,,
E05005177,Coppull,814,1464,477,801,12.40875912,,
E05001155,Copt Hill,2272,2651,1365,1451,10.78431373,,
E05008157,Copthorne,51,400,175,540,17.77777778,,
E05007677,Copthorne and Worth,184,636,129,651,13.55810517,,
E05003395,Corbar,267,659,333,500,14.81032716,,
E05008035,Corbridge,453,673,281,599,21.32132132,,
E05003675,Corfe Mullen Central,171,630,146,634,17.88765917,,
E05003676,Corfe Mullen North,208,291,50,268,27.36541799,,
E05003677,Corfe Mullen South,245,393,98,350,12.44813278,,
E05003564,Cornwood and Sparkwell,283,368,93,318,29.99337761,,
E05002376,Coronation,98,669,181,664,16.13201863,,
E05001623,Corporation Park,177,1511,548,734,15.03813069,,
E05005846,Corpusty,379,467,79,376,9.677419355,,
E05002233,Corringham and Fobbing,229,1303,281,767,20.2343911,,
E05008353,Corsham Pickwick,1096,805,417,694,19.62704843,,
E05008354,Corsham Town,641,814,338,677,16.88337668,,
E05008355,Corsham Without and Box Hill,738,618,218,684,12.80788177,,
E05008158,Corvedale,278,594,76,512,18.61774512,,
E05005409,Cosby with South Whetstone,310,698,169,551,18.55052653,,
E05001241,Coseley East,3175,3586,1416,1676,18.99224806,,
E05006034,Cosgrove and Grafton,146,328,59,260,18.95857072,,
E05002445,Cosham,2935,2735,1575,1817,10.82802548,,
E05006412,Cossall and Kimberley,663,1416,547,907,23.36065574,,
E05003396,Cote Heath,494,713,297,532,23.70572207,,
E05006493,Cotgrave,1091,1411,524,956,15.81395349,,
E05001982,Cotham,524,373,1499,1633,27.04649377,,
E05003369,Cotmanhay,864,1215,670,710,19.12934256,,
E05007018,Coton,919,594,655,658,15.78947368,,
E05002051,Cotswold Edge,249,504,77,414,25.19379845,,
E05002798,Cottenham,842,1075,370,1009,16.60855031,,
E05001807,Cottesmore,243,306,76,279,23.61081463,,
E05001691,Cottingham North,314,1185,568,1152,17.74891775,,
E05001692,Cottingham South,1062,1914,878,1325,24.67494992,,
E05001488,Coulby Newham,2225,1921,943,1083,27.37883969,,
E05000150,Coulsdon East,1429,1805,820,1625,28.90603122,,
E05000151,Coulsdon West,598,1620,649,1465,25.8988319,,
E05007972,Coundon,1289,2072,967,1011,21.06199787,,
E05005410,Countesthorpe,332,1220,310,884,22.28311199,,
E05000893,County,3033,4270,3863,2043,13.42592593,,
E05005335,Coupe Green and Gregson Lane,82,555,149,476,16.21621622,,
E05007275,Court,1694,1049,506,797,20.40986816,,
E05000386,Courtfield,631,295,2599,1734,22.21227212,,
E05004614,Cove and Southwood,829,670,266,689,24.38016529,,
E05002150,Covingham and Nythe,348,1603,514,1299,14.44660109,,
E05005010,Cowden and Hever,195,285,56,218,14.09636111,,
E05008485,Cowes Medina,526,670,450,584,27.27713532,,
E05008486,Cowes North,117,377,390,464,18.10516906,,
E05008487,Cowes South and Northwood,220,583,174,472,12.16730038,,
E05008488,Cowes West and Gurnard,58,635,247,600,12.16730038,,
E05007651,"Cowfold, Shermanbury and West Grinstead",363,695,113,675,9.356725146,,
E05003492,Cowick,862,1246,493,746,16.78147852,,
E05006549,Cowley,853,1169,835,793,16.0364034,,
E05006550,Cowley Marsh,1172,734,951,854,17.02786378,,
E05006192,Cowling,137,267,81,285,22.58064516,,
E05008036,Cowpen,1617,1311,673,608,18.71045378,,
E05004570,Cowplain,522,1560,495,1320,24.36544855,,
E05006211,Cowtons,74,244,31,228,13.32771785,,
E05002358,Cox Green,794,882,277,824,23.12785314,,
E05002460,Coxford,4178,3310,1420,1906,20.80618483,,
E05008553,Coxheath and Hunton,593,1310,361,986,20.69885216,,
E05007973,Coxhoe,1310,1654,741,955,16.21621622,,
E05007873,Crabbs Cross,358,898,267,744,16.16161616,,
E05001242,Cradley and Wollescote,2173,3369,1194,1795,12.38938053,,
E05001264,Cradley Heath and Old Hill,3566,3774,1732,1797,18.51851852,,
E05007974,Craghead and South Moor,1463,2099,1296,1044,18.15386157,,
E05006212,Crakehall,129,284,50,257,26.18319623,,
E05008037,Cramlington East,1421,1338,701,761,23.30299001,,
E05008038,Cramlington Eastfield,894,713,302,590,25.46396639,,
