GEO_CODE,GEO_LABEL,socialrented,Noqualifications ,Car_or_van,Deprivation_classification_of_household,%obese,,
E05006938,All Saints,151,773,166,447,17.78846154,,
E05007103,All Saints,397,595,389,587,15.93396169,,
E05000886,Allerton and Hunts Cross,1532,3004,1600,1991,22.50131301,,
E05001768,Allestree,273,1821,872,1908,18.63800629,,
E05004982,Allington,49,1253,368,1005,10.12345679,,
E05003560,Allington and Loddiswell,177,317,80,319,14.17004049,,
E05008558,Almondbury,2176,3438,2068,2535,11.43176418,,
E05002043,Almondsbury,385,471,85,454,18.72537151,,
E05008018,Alnwick,1414,987,656,679,14.55223881,,
E05000085,Alperton,1507,2514,1478,1657,21.6884232,,
E05003491,Alphington,882,1541,827,1189,20.61295284,,
E05003281,Alport,90,443,91,353,12.96731758,,
E05004226,Alresford,103,443,80,295,13.96499733,,
E05006939,Alrewas and Fradley,584,806,178,692,17.55319149,,
E05008611,Alsager,1045,1813,809,1667,12.92408158,,
E05005293,Alston and Hothersall,58,373,121,325,13.65313653,,
E05003205,Alston Moor,247,410,166,329,18.98016997,,
E05008199,Altarnun,188,923,144,621,17.46031746,,
E05005206,Altham,399,925,394,658,15.625,,
E05004190,Althorne,247,934,128,576,13.69842716,,
E05001446,Altofts and Whitwood,2915,4191,1780,2116,16.62707838,,
E05007039,Alton,85,272,53,190,20.57761733,,
E05007076,Alton,409,667,185,529,23.28028688,,
E05004459,Alton Amery,144,311,73,321,15.34090909,,
E05004460,Alton Ashdell,132,248,122,346,15.88387651,,
E05004461,Alton Eastbrooke,1178,643,337,404,19.67213115,,
E05004227,Alton Park,597,1430,868,701,19.67213115,,
E05004462,Alton Westbrooke,582,580,480,552,20.7253886,,
E05004463,Alton Whitedown,397,371,119,337,20.98552722,,
E05004464,Alton Wooteys,504,498,181,334,20.28826806,,
E05000819,Altrincham,954,1314,980,1435,19.67213115,,
E05001769,Alvaston,3803,3643,2361,2407,20.30327959,,
E05007823,Alvechurch,461,1280,282,840,12.8147674,,
E05008138,Alveley and Claverley,330,801,117,567,28.750033,,
E05004531,Alverstoke,84,726,250,633,23.51614549,,
E05006627,Alvescot and Filkins,170,212,46,228,12.12121212,,
E05004336,"Alvington, Aylburton and West Lydney",334,594,229,466,12.12121212,,
E05001412,Alwoodley,2920,3156,1909,2934,14.63414634,,
E05004378,Amberley and Woodchester,121,207,69,253,14.16309013,,
E05005479,Ambien,206,605,117,421,15.59633028,,
E05008019,Amble,1210,1173,640,691,16.60899654,,
E05008020,Amble West with Warkworth,272,696,263,643,18.0481098,,
E05001236,Amblecote,1155,2336,734,1628,10.21505376,,
E05003235,Ambleside and Grasmere,846,546,330,669,13.59649123,,
E05008599,Ambrook,196,862,143,754,17.0765725,,
E05006518,Ambrosden and Chesterton,261,319,82,380,16.35802469,,
E05002630,Amersham Common,164,207,79,285,17.8831422,,
E05002632,Amersham Town,487,525,235,567,10.18518519,,
E05002631,Amersham-on-the-Hill,1002,687,385,634,13.79714708,,
E05008329,Amesbury East,1092,602,220,643,11.98156682,,
E05008330,Amesbury West,1152,1082,426,748,11.98156682,,
E05003672,Ameysford,145,563,128,404,10.42944785,,
E05007066,Amington,1387,1644,605,994,21.62849873,,
E05006760,Ammerdown,336,335,77,312,21.62849873,,
E05006297,Amotherby,129,342,51,258,15.87298937,,
E05004630,Ampfield and Braishfield,74,247,67,254,22.5520377,,
E05006298,Ampleforth,127,261,56,212,13.47226607,,
E05004308,Ampney-Coln,226,211,55,252,15.4589372,,
E05004631,Amport,203,362,51,315,14.64174455,,
E05008778,Ampthill,1188,1572,517,1420,12.41830065,,
E05001643,Anchorsholme,235,1776,950,1018,14,,
E05000687,Ancoats and Clayton,5435,3412,4509,3064,10.70320273,,
E05000887,Anfield,3018,4261,3785,2169,17.62971807,,
E05004532,Anglesey,196,564,222,479,24.7208951,,
E05006918,Anglesey,497,1489,954,982,27.35823754,,
E05007578,Angmering,636,1283,348,1083,14.91712707,,
E05004632,Anna,494,522,128,596,26.13636364,,
E05007955,Annfield Plain,1348,2085,1192,1106,18.47776587,,
E05005185,Ansdell,133,660,348,614,14.49862018,,
E05005426,Anstey,677,1414,512,953,25.12315271,,
E05008935,Anston and Woodsetts,865,2108,632,1518,23.48406968,,
E05001882,Apley Castle,107,336,115,331,10.17699115,,
E05005511,Appleby,211,396,77,265,19.62616822,,
E05003206,Appleby (Appleby),149,390,148,224,18.43887846,,
E05003207,Appleby (Bongate),109,328,91,289,19.57671958,,
E05003615,Appledore,239,538,252,495,17.67241379,,
E05001577,Appleton,1297,1667,1229,944,16.66666667,,
E05001598,Appleton,483,1190,421,1156,16.66666667,,
E05004082,Appleton,180,1464,356,926,15.87301587,,
E05006605,Appleton and Cumnor,491,794,324,813,28.10741066,,
E05006342,Appleton Roebuck,58,221,33,209,15.74482518,,
E05004694,Apsley and Corner Hall,1831,1242,630,1155,12.3427609,,
E05001770,Arboretum,4201,4505,4060,2454,12.09150327,,
E05001822,Arboretum,3887,1879,3023,1735,22.22222222,,
E05007880,Arboretum,500,849,856,883,13.4891681,,
E05002372,Arborfield,251,270,62,293,28.09257978,,
E05001039,Arbourthorne,7727,5593,3620,2789,28.63620633,,
E05002703,Arbury,2443,1383,1382,1291,15.05281439,,
E05004761,Arbury,278,324,96,331,11.40350877,,
E05007475,Arbury,386,1403,450,879,18.48341232,,
E05007668,Ardingly and Balcombe,806,697,210,727,12.27722772,,
E05004228,Ardleigh and Little Bromley,156,437,61,288,22.16981132,,
E05001413,Ardsley and Robin Hood,2713,4094,1430,2675,7.438016529,,
E05000688,Ardwick,7656,2930,4076,2270,13.55973666,,
E05007928,Areley Kings,1128,1705,537,935,16.33986928,,
E05003180,Arlecdon,106,245,69,197,17.67358473,,
E05008779,Arlesey,1896,2118,562,1741,27.64733213,,
E05001883,Arleston,1024,844,336,448,24.99315614,,
E05007457,Arley and Whitacre,933,1230,361,738,26.58227848,,
E05006940,Armitage with Handsacre,534,1218,292,703,13.87408156,,
E05001414,Armley,6752,6129,5109,3823,22.8,,
E05000998,Armthorpe,1578,3433,1322,1905,18.00511948,,
E05003236,Arnside and Beetham,233,579,212,667,23.85397076,,
E05008479,Arreton and Newchurch,173,698,137,548,23.23102106,,
E05007579,Arundel,365,666,279,660,21.93750996,,
E05002271,Ascot,287,660,186,628,13.80952381,,
E05002349,Ascot and Cheapside,346,566,140,635,19.09085384,,
E05006628,Ascott and Shipton,214,269,46,246,18.93109137,,
E05005495,Asfordby,373,701,217,480,28.54267936,,
E05005008,Ash and New Ash Green,370,663,235,818,18.42719065,,
E05007286,Ash South and Tongham,985,1318,364,1018,8.556149733,,
E05007287,Ash Vale,429,710,198,740,11.53846154,,
E05007288,Ash Wharf,1148,1141,322,823,16.11111111,,
E05003342,Ashbourne North,706,850,395,584,21.96531792,,
E05003343,Ashbourne South,848,919,439,618,20.10582011,,
E05001389,Ashbrow,4603,4305,2961,2744,18.4671658,,
E05000147,Ashburton,3172,2247,1437,1892,17.76649746,,
E05003591,Ashburton and Buckfastleigh,1196,1398,514,1109,19.54598626,,
E05001728,Ashby,2129,2679,1318,1588,14.61497597,,
E05005512,Ashby Castle,70,297,115,320,18.59504132,,
E05005618,Ashby de la Launde and Cranwell,452,687,154,593,25.51920835,,
E05005513,Ashby Holywell,732,829,393,628,14.40677966,,
E05005514,Ashby Ivanhoe,915,1028,353,626,22.69698857,,
E05004408,Ashchurch with Walton Cardiff,351,352,73,436,12.49164811,,
E05004261,Ashdon,180,204,45,186,14.39469494,,
E05003929,Ashdown,558,1111,351,808,14.28571429,,
E05002633,Asheridge Vale and Lowndes,1071,712,330,546,11.71171171,,
E05007362,Ashford Common,583,1423,426,1156,14.28571429,,
E05007363,Ashford East,529,1272,453,1048,11.71171171,,
E05007364,Ashford North and Stanwell South,1512,1449,459,1161,19.54887218,,
E05007365,Ashford Town,169,1103,327,892,19.95073892,,
E05004207,Ashingdon and Canewdon,312,889,130,613,15.07936508,,
E05008021,Ashington Central,991,1319,968,743,14.0625,,
E05001972,Ashley,4246,1578,2972,2347,15.15151515,,
E05004785,Ashley,592,665,417,847,17.39130435,,
E05002634,"Ashley Green, Latimer and Chenies",166,269,52,234,20.07540637,,
E05003417,Ashover,159,341,80,250,17.02898551,,
E05004695,Ashridge,269,281,73,301,22.12797386,,
E05004819,Ashridge,1129,816,341,531,17.04545455,,
E05007308,Ashtead Common,233,454,175,482,15.4536148,,
E05007309,Ashtead Park,263,402,144,501,23.97244832,,
E05007310,Ashtead Village,439,710,273,709,9.032408784,,
E05000841,Ashton,738,2110,783,1598,17.01710425,,
