Zone Code,Zone Name,people,households,rent,%rent
33UEGU,Brancaster,1484,40,759,51.14555256
20UEGD,"Brancepeth, Langley Moor and Meadowfield",3707,42,1524,41.11141084
20UEGE,Brandon,5779,35,2625,45.42308358
42UCFS,Brandon East,5173,22,2427,46.91668278
42UCFT,Brandon West,3576,7,1597,44.65883669
00CNFF,Brandwood,24530,170,10573,43.10232369
00HPMQ,Branksome East,5763,48,2466,42.79021343
00HPMR,Branksome West,7035,39,3004,42.70078181
24UJGS,Bransgore and Burley,5683,141,2341,41.19303185
00FANA,Bransholme East,9991,20,3783,37.86407767
00FANB,Bransholme West,8754,16,3564,40.712817
41UCGF,Branston,7040,46,2969,42.17329545
32UEGM,Branston and Mere,4667,71,1950,41.78272981
16UEGG,Bransty,4657,47,1863,40.00429461
32UEGN,Brant Broughton,2483,43,974,39.22674184
29UKGL,"Brasted, Chevening and Sundridge",5920,162,2387,40.32094595
18UEGK,Bratton Fleming,1907,29,742,38.90928159
26UDGN,Braughing,2459,53,973,39.56893046
34UCGK,Braunston,1675,27,717,42.80597015
00FPMS,Braunston and Belton,1263,34,502,39.746635
00FNNK,Braunstone Park and Rowley Fields,16614,63,6624,39.86998917
18UEGL,Braunton East,3705,65,1548,41.78137652
18UEGM,Braunton West,3805,45,1778,46.72798949
00MEND,Bray,6981,167,2765,39.60750609
21UDFU,Braybrooke,5178,47,2339,45.17188104
36UHGQ,Brayton,5514,91,2100,38.08487486
15UDFZ,Breage and Crowan,5838,79,2367,40.54470709
23UDGK,Bream,3124,22,1260,40.33290653
17UGGD,Breaston,4555,50,1941,42.61251372
30UQGF,Breck,3061,38,1330,43.44985299
00BYFF,Breckfield,10814,19,5132,47.45700018
00BSFA,Bredbury,15126,83,6338,41.90136189
21UGGE,Brede Valley,4627,78,1926,41.62524314
47UFGS,Bredon,2436,52,1012,41.54351396
31UHGE,Breedon,2376,45,995,41.87710438
00BLFD,Breightmet,13595,95,5543,40.77234277
46UCGY,Bremhill,2195,58,840,38.26879271
29UQGC,Brenchley and Horsmonden,4884,121,1897,38.84111384
29UDGB,Brent,6286,53,2446,38.91186764
40UCGM,Brent North,2162,34,790,36.54024052
00ATFZ,Brentford,10745,60,4682,43.57375523
22UDFT,Brentwood North,5919,81,2505,42.32133806
22UDFU,Brentwood South,5099,47,2401,47.08766425
22UDFW,Brentwood West,4887,53,2302,47.10456313
13UCFZ,Brereton,1752,34,677,38.64155251
41UBFR,Brereton and Ravenhill,6524,22,2598,39.82219497
33UHGX,Bressingham and Burston,2543,41,1005,39.52025167
47UFGT,Bretforton and Offenham,2465,37,1013,41.09533469
42UBGL,Brett Vale,1949,42,828,42.48332478
00JANC,Bretton North,9483,99,3903,41.15786144
00JAND,Bretton South,3206,52,1288,40.17467249
41UFHN,Brewood and Coven,6374,59,2776,43.55192971
09UDGE,Brickhill,8678,167,3517,40.52777138
34UHFR,Brickhill,5902,56,2376,40.25753982
00FANC,Bricknell,7954,80,3300,41.48855922
18ULFZ,Bridestowe,1516,16,629,41.49076517
00BCGA,Bridge,11211,76,4658,41.54847917
00FYNL,Bridge,9084,35,4601,50.64949362
29UHGL,Bridge,4712,77,1977,41.95670628
37UGGP,Bridge,5377,24,2206,41.02659476
42UDFU,Bridge,7226,36,3148,43.56490451
