Zone Code,Zone Name,people,households,rent,%rent
00BLFE,Bromley Cross,13837,185,5689,41.11440341
00AFGG,Bromley Town,14499,175,6593,45.47210152
00BGGB,Bromley-by-Bow,11581,52,4188,36.16268025
00AWFZ,Brompton,9313,151,4834,51.90593794
36UCGN,Brompton,1912,32,848,44.35146444
40UFFZ,Brompton Ralph and Haddon,859,20,359,41.79278231
36UEGG,Brompton-on-Swale and Scorton,2851,53,1137,39.8807436
00GAPD,Bromyard,5788,59,2494,43.08914997
00AEGL,Brondesbury Park,11643,157,4850,41.6559306
42UBGM,Brook,3817,60,1586,41.55095625
33UHGY,Brooke,2480,53,1052,42.41935484
00ECNG,Brookfield,5997,61,2424,40.42021011
30UKFX,Brookfield,7624,45,3059,40.12329486
45UCGM,Brookfield,5587,29,2297,41.11329873
00ARGC,Brooklands,13024,52,5361,41.16246929
00BNFH,Brooklands,10779,59,5056,46.90602097
00BUFD,Brooklands,9773,147,4092,41.87045943
26ULGJ,Brookmans Park and Little Heath,5937,140,2199,37.03890854
00GFNP,Brookside,7150,38,2757,38.55944056
24UBHT,Brookvale and Kings Furlong,4820,23,2142,44.43983402
43UMFS,Brookwood,2416,56,931,38.53476821
00CFFG,Broom,9613,124,3910,40.67408717
20UGGA,Broom,4855,18,2202,45.35530381
22UFGG,Broomfield and The Walthams,7477,110,3086,41.27323793
35UFGN,Broomhaugh and Riding,936,31,394,42.09401709
00CGFD,Broomhill,18775,245,6356,33.85352863
37UFFX,Broomhill,4254,23,1956,45.98025388
39UBGD,Broseley East,2804,33,1155,41.19115549
39UBGE,Broseley West,2744,26,1156,42.12827988
00EEMZ,Brotton,7113,42,2824,39.70195417
16UFGK,Brough,1231,10,510,41.42973193
00BRFC,Broughton,7784,39,3428,44.03905447
16UGHC,Broughton,2344,56,996,42.49146758
00FDMZ,Broughton and Appleby,6316,79,2604,41.22862571
36UCGP,Broughton and Greenhow,1646,34,677,41.13001215
24UNGH,Broughton and Stockbridge,4495,140,1916,42.62513904
31UDGF,Broughton Astley - Astley,2260,16,874,38.67256637
31UDGG,Broughton Astley - Broughton,2286,41,805,35.21434821
31UDGH,Broughton Astley - Primethorpe,1851,17,753,40.68071313
31UDGJ,Broughton Astley - Sutton,1893,13,720,38.03486529
16UBGQ,Broughton St Bridget's,3834,66,1556,40.58424622
41UHGN,Brown Edge and Endon,4759,47,1995,41.92057155
00CUFH,Brownhills,12637,48,5152,40.7691699
44UDGD,Brownsover North,4074,50,1606,39.42071674
44UDGE,Brownsover South,4147,16,1677,40.43887147
00AMGA,Brownswood,11331,61,5252,46.35071927
26UBFQ,Broxbourne,6123,93,2333,38.10223747
00APGC,Bruce Grove,11997,76,4936,41.14361924
00FDNA,Brumby,11698,76,4700,40.17780817
33UCGR,Brundall,5580,81,2333,41.81003584
00ASGJ,Brunel,10631,49,4098,38.54764368
30UDGS,Brunshaw,6298,27,2832,44.96665608
00EYNC,Brunswick,7353,50,3418,46.48442812
44UFFZ,Brunswick,9299,49,3761,40.44520916
00MLND,Brunswick and Adelaide,8897,26,5426,60.9868495
00ACFX,Brunswick Park,14668,185,5650,38.51922552
00BEGC,Brunswick Park,11136,65,4593,41.24461207
00EBMB,Brus,5164,15,2256,43.68706429
40UDJR,Bruton,2926,64,1044,35.68010936
00BKGC,Bryanston and Dorset Square,10669,124,5478,51.34501828
40UDJS,Brympton,5268,60,2147,40.75550494
00BWFG,Bryn,12433,96,5029,40.4488056
34UEGD,Buccleuch,1385,52,567,40.93862816
12UEGP,Buckden,3009,52,1272,42.27318046
33UBGW,Buckenham,1762,21,705,40.01135074
22UHGJ,Buckhurst Hill East,4281,25,1915,44.73253913
22UHGK,Buckhurst Hill West,6457,81,2816,43.61158433
45UBFQ,Buckingham,3921,48,1633,41.64753889
11UBGX,Buckingham North,6429,103,2581,40.14621247
11UBGY,Buckingham South,5143,68,1878,36.51565234
24UJGU,Buckland,3172,42,1432,45.14501892
29UEGK,Buckland,7282,34,3048,41.85663279
18UHGR,Buckland and Milber,7287,56,2995,41.10059009
18ULGA,Buckland Monachorum,3224,74,1340,41.56327543
00MBNM,Bucklebury,5922,198,2052,34.65045593
00BUFE,Bucklow,7723,22,3355,43.44166775
39UFGJ,Bucknell,1189,15,481,40.45416316
24UBHU,Buckskin,5326,14,1946,36.53773939
44UFGA,Budbrooke,5223,110,2144,41.04920544
15UEGK,Bude,4675,65,2075,44.38502674
18UBGS,Budleigh,5570,58,2735,49.10233393
00HGMX,Budshead,12314,105,5326,43.25158356
13UCGA,Buglawton,2987,44,1230,41.17843991
19UEGN,Bulbarrow,1974,30,787,39.86828774
46UDGU,Bulford,5553,85,1631,29.3715109
30UHGJ,Bulk,6794,41,2739,40.31498381
44UCFX,Bulkington,6303,72,2737,43.42376646
00MAMY,Bullbrook,5064,60,2102,41.50868878
00MFND,Bulmershe and Whitegates,8386,111,3140,37.44335798
00FYNM,Bulwell,15755,39,6748,42.83084735
00FYNN,Bulwell Forest,13825,84,5978,43.24050633
22UCGU,Bumpstead,2418,50,952,39.37138131
13UDGJ,Bunbury,2131,57,831,38.99577663
42UHGB,Bungay,4895,49,2144,43.79979571
00AUFY,Bunhill,10055,59,5028,50.00497265
26UDGP,Buntingford,5245,71,2048,39.04671115
33UHGZ,Bunwell,2481,36,978,39.41958888
17UHGE,Burbage,1980,26,788,39.7979798
46UBGP,Burbage,1660,50,689,41.5060241
31UEFZ,Burbage Sketchley and Stretton,8513,116,3490,40.99612358
31UEFY,Burbage St Catherines and Lash Hill,5811,59,2569,44.2092583
42UBGN,Bures St Mary,1701,27,731,42.97472075
38UFGQ,Burford,1878,35,865,46.05963791
39UFGK,Burford,1308,22,522,39.90825688
45UGGL,Burgess Hill Dunstall,5184,36,2032,39.19753086
45UGGM,Burgess Hill Franklands,4684,113,1751,37.38257899
45UGGN,Burgess Hill Leylands,4759,38,1900,39.92435386
45UGGP,Burgess Hill Meeds,4359,34,1998,45.83620096
45UGGQ,Burgess Hill St Andrews,4505,47,1795,39.84461709
45UGGR,Burgess Hill Victoria,5312,32,2070,38.96837349
16UDGE,Burgh,1973,38,759,38.46933604
33UBGX,Burgh and Haverscroft,3736,27,1650,44.16488223
32UCHE,Burgh le Marsh,2338,24,1071,45.80838323
24UBHW,Burghclere,2813,70,1038,36.90010665
00MBNN,Burghfield,5894,91,2227,37.78418731
00GAPE,"Burghill, Holmer and Lyde",3251,61,1248,38.38818825
29UPHM,"Burham, Eccles and Wouldham",3759,14,1595,42.43149774
33UCGS,Burlingham,2504,23,1047,41.81309904
00DAFF,Burmantofts,18507,51,8270,44.68579456
00BNFJ,Burnage,13706,66,5505,40.16489129
00BLFF,Burnden,12969,87,5050,38.9390084
16UGHD,Burneside,1988,24,843,42.40442656
00CGFE,Burngreave,13784,46,5785,41.96894951
33UEGW,Burnham,1917,34,965,50.33907147
11UEGA,Burnham Beeches,1252,46,493,39.37699681
11UEGB,Burnham Church,4921,68,2027,41.19081488
11UEGC,Burnham Lent Rise,4509,33,1830,40.58549568
40UCGU,Burnham North,6200,86,2794,45.06451613
40UCGW,Burnham South,6215,42,2785,44.81094127
22UKFY,Burnham-on-Crouch North,3805,46,1552,40.78843627
22UKFZ,Burnham-on-Crouch South,3954,15,1881,47.57207891
20UDGD,Burnhope,1335,7,581,43.52059925
20UDGE,Burnopfield,4623,25,1966,42.52649795
00ACFY,Burnt Oak,15243,121,5882,38.58820442
41UDGL,Burntwood Central,3250,29,1271,39.10769231
43UDGB,Burpham,5221,103,2267,43.42080061
18ULGB,Burrator,1540,20,636,41.2987013
00FDNB,Burringham and Gunness,3698,10,1735,46.91725257
40UDJT,Burrow Hill,2197,41,884,40.23668639
22UNGS,Burrsville,2109,8,1022,48.4589853
30UPGJ,Burscough East,3597,48,1466,40.75618571
30UPGK,Burscough West,5071,59,1920,37.86235457
24UDFX,Bursledon and Old Netley,7445,61,2995,40.22834117
00GLNB,Burslem North,12127,37,5217,43.01970809
00GLNC,Burslem South,12071,32,5329,44.14712948
22UBFS,Burstead,10417,170,4374,41.98905635
43UKFZ,"Burstow, Horne and Outwood",5675,72,2230,39.29515419
41UCGH,Burton,2127,9,1084,50.96379878
16UGHE,Burton & Holme,2578,40,1104,42.82389449
13UEFU,Burton & Ness,1620,46,678,41.85185185
19UCFL,Burton and Winkton,4189,30,1712,40.86894247
19UHGZ,Burton Bradstock,1850,32,887,47.94594595
44UEGT,Burton Dassett,2044,53,819,40.06849315
37UEGD,Burton Joyce and Stoke Bardolph,3555,63,1554,43.71308017
00FDNC,Burton upon Stather and Winterton,10798,157,4527,41.92443045
00EUNE,Burtonwood and Winwick,5595,44,2265,40.48257373
12UCFW,Burwell,5833,72,2385,40.88805075
45UDGP,Bury,2324,73,897,38.59724613
26UBFR,Bury Green,6202,37,2561,41.29313125
22UJFS,Bush Fair,7493,25,3239,43.22701188
00AKGM,Bush Hill Park,13346,163,5219,39.10534992
00CWFD,Bushbury,11289,30,4562,40.41101958
18UHGS,Bushell,5633,43,2546,45.19794071
26UEGD,Bushey Heath,6476,223,2643,40.81222977
26UEGE,Bushey North,6218,66,2400,38.59761981
26UEGF,Bushey Park,4588,57,1979,43.1342633
26UEGG,Bushey St James,7323,140,2886,39.41007784
41UEGC,Butt Lane,5572,24,2317,41.58291457
24UJGW,Butts Ash and Dibden Purlieu,6457,91,2446,37.88136906
21UHGN,Buxted and Maresfield,4969,139,1985,39.94767559
33UCGT,Buxton,2574,32,1018,39.54933955
17UHGF,Buxton Central,3901,37,1810,46.3983594
29UBHE,Bybrook,2629,21,1074,40.85203499
20UGGB,Byerley,3296,16,1515,45.96480583
34UCGM,Byfield,1794,44,741,41.30434783
43UMFT,Byfleet,6995,67,2973,42.50178699
00CJFC,Byker,8200,18,4171,50.86585366
39UDFR,Cabin Lane,2330,14,960,41.20171674
00HBNU,Cabot,9604,71,4122,42.91961683
30UQGH,Cabus,1572,12,745,47.39185751
18UDGH,Cadbury,1436,40,581,40.45961003
09UEGE,"Caddington, Hyde and Slip End",6051,59,2547,42.09221616
31UEGA,"Cadeby, Carlton and Market Bosworth with Shackerstone",3189,67,1316,41.26685481
00BRFD,Cadishead,8916,28,3757,42.13772992
30UKFY,Cadley,4698,57,1933,41.14516816
26UFGF,Cadwell,2240,35,966,43.125
29UPHN,Cage Green,3978,67,1661,41.75465058
23UFGM,Cainscross,6667,68,2688,40.3179841
33UDGA,Caister North,4528,26,2027,44.76590106
33UDGB,Caister South,4423,22,2026,45.80601402
32UHGE,Caistor,3133,36,1321,42.16406001
00MBNP,Calcot,9093,124,3554,39.08501045
12UGHB,Caldecote,1615,41,617,38.20433437
44UDGF,Caldecott,5595,94,2248,40.17873101
30UQGJ,Calder,1751,21,661,37.74985722
00CYFB,Calder Valley,11600,154,5040,43.44827586
00BSFC,Cale Green,12178,46,5167,42.42897027
00AUFZ,Caledonian,11566,68,5139,44.43195573
24UBHX,Calleva,5812,128,2278,39.19476944
15UBGH,Callington,4783,40,2036,42.5674263
26UKFN,Callowland,6653,37,2814,42.29670825
46UCHA,Calne Abberd,2528,26,1043,41.25791139
46UCHB,Calne Chilvester,1404,13,544,38.74643875
46UCHC,Calne Lickhill,2901,25,1055,36.36677008
46UCHD,Calne Marden,2169,16,1008,46.47302905
46UCHE,Calne Priestley,2605,24,1073,41.19001919
46UCHF,Calne Quemerford,2182,45,896,41.06324473
46UCHG,Calne Without,1879,31,697,37.09419904
15UBGJ,Calstock,6095,74,2617,42.93683347
17UFGH,Calver,1920,41,812,42.29166667
37UEGE,Calverton,6903,75,2771,40.14196726
23UFGN,Cam East,4061,68,1773,43.65919724
19UHHA,Cam Vale,2047,62,819,40.0097704
23UFGP,Cam West,4219,45,1734,41.09978668
00BEGD,Camberwell Green,12798,75,5499,42.9676512
36UHGR,Camblesforth,4052,45,1566,38.64758144
15UDGA,Camborne North,6661,54,2861,42.95150878
15UDGB,Camborne South,6875,59,2788,40.55272727
15UDGC,Camborne West,6796,53,2990,43.99646851
39UDFS,Cambrian,2346,11,1140,48.59335038
00CAGD,Cambridge,12304,118,5895,47.91124837
00AGGF,Camden Town with Primrose Hill,11574,110,5371,46.405737
15UEGL,Camelford,2256,27,922,40.86879433
15UEGM,Camelot,4364,44,1929,44.20256645
40UDJU,Camelot,2559,60,1068,41.73505275
44UCFY,Camp Hill,7325,29,3052,41.66552901
00MGND,Campbell Park,12980,123,5338,41.1248074
00AWGA,Campden,8173,137,4155,50.83812554
23UCGR,Campden-Vale,5705,113,2613,45.80192813
00CKFC,Camperdown,9559,35,4179,43.71796213
00AXGA,Canbury,9604,110,4182,43.54435652
00HPMT,Canford Cliffs,7622,162,3837,50.34111782
00HPMU,Canford Heath East,7375,51,2887,39.14576271
00HPMW,Canford Heath West,7043,109,2791,39.62799943
00BHFX,Cann Hall,11388,50,4641,40.75342466
00BBGD,Canning Town North,12061,60,5096,42.25188624
00BBGE,Canning Town South,11278,53,4799,42.5518709
40UCGX,Cannington and Quantocks,6991,99,2869,41.03847804
41UBFS,Cannock East,6987,27,3020,43.22312867
41UBFT,Cannock North,7587,18,3021,39.81810992
41UBFU,Cannock South,7162,31,3046,42.53001955
41UBFW,Cannock West,6699,81,2889,43.12583968
00BAFY,Cannon Hill,9286,85,3555,38.28343743
00AUGA,Canonbury,9899,50,4736,47.84321649
00AQFZ,Canons,10091,210,4234,41.95818056
18UDGJ,Canonsleigh,3054,43,1198,39.22724296
00AGGG,Cantelowes,10490,80,4718,44.97616778
00BXFA,Cantril Farm,4634,7,2106,45.44669832
22UEFS,Canvey Island Central,6770,19,2769,40.90103397
22UEFT,Canvey Island East,6375,18,2673,41.92941176
22UEFU,Canvey Island North,5979,25,2626,43.92038802
22UEFW,Canvey Island South,6347,28,2629,41.42114385
22UEFX,Canvey Island West,4498,17,1829,40.66251667
22UEFY,Canvey Island Winter Gardens,7510,31,2591,34.50066578
29UQGE,Capel,2312,31,858,37.11072664
29UEGL,Capel-le-Ferne,2140,17,952,44.48598131
43UEGJ,"Capel, Leigh and Newdigate",3882,71,1602,41.26738794
38UCFW,Carfax,4573,37,1019,22.28296523
40UFGA,Carhampton and Withycombe,1291,22,582,45.0813323
32UDFR,Carholme,7162,76,3222,44.98743368
00MWPJ,Carisbrooke East,2721,35,1061,38.99301727
00MWPK,Carisbrooke West,2937,32,1181,40.21109976
15UCGA,Carland,1903,23,786,41.30320547
30UQGK,Carleton,4159,69,1702,40.92329887
09UDGG,Carlton,2738,90,1179,43.0606282
37UCGG,Carlton,5840,64,2485,42.55136986
37UEGF,Carlton,6911,49,3097,44.81261757
42UHGC,Carlton,4720,40,1914,40.55084746
42UHGD,Carlton Colville,6612,55,2590,39.17120387
37UEGG,Carlton Hill,7204,40,3103,43.07329262
30UHGK,Carnforth,4253,33,1762,41.42957912
26UJGA,Carpenders Park,4926,58,2136,43.36175396
39UDFT,Carreg Llwyd,2764,10,1100,39.79739508
20UEGF,Carrville and Gilesgate Moor,5274,47,2342,44.40652256
00BFGF,Carshalton Central,9833,118,4112,41.81836672
00BFGG,Carshalton South and Clockhouse,9747,170,3542,36.33938648
17UFGJ,Carsington Water,1855,29,733,39.5148248
38UFGR,Carterton North East,2995,19,1025,34.22370618
38UFGS,Carterton North West,4599,54,1832,39.83474668
38UFGT,Carterton South,4211,63,1581,37.54452624
16UGHF,Cartmel,1758,22,774,44.02730375
40UDJW,Cary,5193,101,2280,43.90525708
20UEGG,Cassop-cum-Quarrington,5586,38,2463,44.09237379
00CGFF,Castle,13688,37,6238,45.57276447
00CJFD,Castle,11436,123,4709,41.17698496
00FNNL,Castle,13465,82,6004,44.58967694
00GAPF,Castle,3153,77,1323,41.96003806
09UDGH,Castle,8259,89,3848,46.59159705
12UBFS,Castle,7244,89,2143,29.58310326
16UDGF,Castle,5452,36,2663,48.84446075
18UDGK,Castle,3296,44,1533,46.51092233
19UGFP,Castle,1969,37,842,42.76282377
21UDFW,Castle,6091,30,3193,52.42160565
22UGGG,Castle,7032,71,3547,50.44084187
29UDGC,Castle,1316,8,567,43.08510638
29UEGM,Castle,2011,27,1121,55.74341124
29UPHP,Castle,4761,68,1808,37.97521529
30UHGL,Castle,6989,84,2933,41.96594649
32UDFS,Castle,6684,38,3191,47.74087373
34UFGB,Castle,9068,30,4647,51.24614027
34UHFS,Castle,6497,55,2786,42.88132984
36UGFZ,Castle,4112,26,2256,54.86381323
37UGGQ,Castle,5778,44,2750,47.5943233
39UDFU,Castle,2634,40,1299,49.3166287
41UKFP,Castle,6869,38,3212,46.76080943
45UHFP,Castle,7895,49,3421,43.33122229
00CRFE,Castle and Priory,11393,30,4355,38.22522602
00CTFB,Castle Bromwich,11857,90,4723,39.83301004
31UHGF,Castle Donington,6533,61,2769,42.38481555
42UDFW,Castle Hill,7528,94,3023,40.15674814
00MENE,Castle Without,6176,101,3119,50.50194301
00ETNC,Castlefields,6429,23,2981,46.36801991
39UEGE,Castlefields and Quarry,4488,37,2341,52.16131907
00DBFA,Castleford Ferry Fryston,12644,42,5197,41.10249921
00DBFB,Castleford Glasshoughton,13557,51,5705,42.08158147
00DBFC,Castleford Whitwood,12260,24,5464,44.56769984
20UDGF,Castleside,1527,10,646,42.30517354
00BQFC,Castleton,9715,69,4031,41.49253731
00CMFA,Castletown,10322,16,4320,41.85235419
20UDGG,Catchgate,3022,13,1272,42.09133024
00AZGG,Catford South,14031,106,5543,39.50538094
00BHFY,Cathall,10608,56,4191,39.50791855
47UEFR,Cathedral,7458,78,3599,48.25690534
00BEGE,Cathedrals,13115,60,5204,39.679756
47UBGA,Catshill,4428,37,1734,39.1598916
30UQGL,Catterall,2324,33,887,38.16695353
36UEGH,Catterick,2743,31,1001,36.492891
33UGFT,Catton Grove,9148,43,4170,45.58373415
09UDGJ,Cauldwell,8656,63,3203,37.00323475
37UGGR,Caunton,2129,44,889,41.75669328
00ASGK,Cavendish,11239,95,4420,39.32734229
42UFGQ,Cavendish,1845,26,788,42.7100271
38UBGZ,Caversfield,2899,35,1027,35.42600897
00MCMT,Caversham,9265,67,4027,43.46465192
41UHGP,Caverswall,1707,12,652,38.19566491
36UHGS,Cawood with Wistow,3789,45,1553,40.98706783
39UFGL,Caynham with Ashford,1221,33,508,41.60524161
36UGGA,Cayton,4161,43,1880,45.18144677
00AMGB,Cazenove,10500,100,3783,36.02857143
22UEFZ,Cedar Hall,5641,38,2410,42.72292147
41UHGQ,Cellarhead,3342,17,1357,40.60442849
00BLFG,Central,10713,45,4668,43.57322879
00BNFK,Central,11689,42,6188,52.93866028
00CCFD,Central,10439,38,4735,45.35875084
00CEFH,Central,10185,34,4887,47.98232695
00CFFH,Central,8004,30,3511,43.86556722
00CMFB,Central,12398,23,4486,36.18325536
00EHND,Central,3611,13,1744,48.29687067
00GAPG,Central,2503,38,1279,51.09868158
00HNMY,Central,7955,54,4184,52.59585167
00HXNA,Central,8780,59,4126,46.99316629
00JANE,Central,8762,87,3278,37.41154987
00MDMS,Central,10083,87,3285,32.57958941
11UCGQ,Central,4086,78,1642,40.18600098
13UEFW,Central,3790,8,1683,44.40633245
16UCFQ,Central,5585,15,2546,45.58639212
21UGGF,Central,4947,35,2700,54.57853244
23UFGQ,Central,1685,17,776,46.05341246
26UKFP,Central,6577,39,3051,46.38893112
29UGFW,Central,6286,61,2618,41.6481069
30UFGB,Central,4227,51,2116,50.0591436
30UGFX,Central,4839,22,1598,33.02335193
32UBFT,Central,1699,7,884,52.03060624
34UBFN,Central,5413,32,2256,41.67744319
35UGFX,Central,3907,11,1710,43.76759662
36UGGB,Central,4697,17,1994,42.45262934
45UHFQ,Central,7467,32,4054,54.2922191
47UDFQ,Central,5455,47,2194,40.21998167
00BQFD,Central and Falinge,9469,48,4004,42.2853522
33UDGC,Central and Northgate,7179,30,3277,45.64702605
29UNGJ,Central Harbour,7550,55,3442,45.58940397
00MLNE,Central Hove,8268,33,5052,61.1030479
00MWPL,Central Rural,2773,52,1111,40.06491165
00MAMZ,Central Sandhurst,5295,72,2168,40.94428706
00MRMQ,Central Southsea,14125,67,5944,42.08141593
21UDFX,Central St Leonards,5775,27,3473,60.13852814
18UEGN,Central Town,4574,28,2299,50.26235243
46UCHH,Cepen Park,5124,57,1967,38.38797814
42UBGP,Chadacre,1945,34,791,40.66838046
00BPFB,Chadderton Central,10784,95,4486,41.59866469
00BPFC,Chadderton North,10269,79,4285,41.72752946
00BPFD,Chadderton South,10061,44,4177,41.51674784
00FKND,Chaddesden,13178,64,5426,41.17468508
38UFGU,Chadlington and Churchill,1938,65,779,40.19607843
41UDGM,Chadsmead,3661,24,1490,40.6992625
00BCGB,Chadwell,11030,56,4436,40.2175884
00ABGA,Chadwell Heath,9299,32,3990,42.90783955
00KGMZ,Chadwell St Mary,9631,29,3936,40.86803032
00KGNA,Chafford and North Stifford,5618,23,2211,39.35564258
18ULGC,Chagford,1470,29,681,46.32653061
21UFGH,Chailey and Wivelsfield,4684,124,1780,38.00170794
43UKGA,Chaldon,1821,30,638,35.03569467
00MWPM,"Chale, Niton and Whitwell",2699,39,1211,44.8684698
11UCGR,Chalfont Common,4545,95,1432,31.50715072
11UCGS,Chalfont St Giles,6696,211,2695,40.2479092
23UFGR,Chalford,6276,110,2612,41.61886552
38UDGP,Chalgrove,2909,34,1089,37.43554486
29UGFX,Chalk,2214,19,950,42.90876242
46UDGW,Chalke Valley,1922,69,799,41.57127992
00KFMR,Chalkwell,9207,132,4065,44.15118931
29UMGF,Chalkwell,5299,34,2178,41.10209473
00KAMW,Challney,11819,103,4488,37.97275573
00MDMT,Chalvey,7412,65,2831,38.19481921
45UFGF,Chanctonbury,7681,159,3141,40.89311288
24UDFY,Chandler's Ford East,4851,54,1969,40.58956916
24UDFZ,Chandler's Ford West,5296,57,2204,41.6163142
45UFGG,Chantry,8751,190,3809,43.52645412
00DAFG,Chapel Allerton,18206,103,7949,43.6614303
17UHGG,Chapel East,2046,24,845,41.30009775
00BHFZ,Chapel End,11098,49,4443,40.0342404
00CGFG,Chapel Green,23082,147,9436,40.88033966
32UCHF,Chapel St Leonards,4613,24,2105,45.63190982
17UHGH,Chapel West,4370,47,1776,40.64073227
40UDJX,Chard Avishayes,2359,21,959,40.65281899
40UDJY,Chard Combe,2061,17,935,45.36632703
40UDJZ,Chard Crimchard,2755,22,1121,40.68965517
40UDKA,Chard Holyrood,2436,20,1131,46.42857143
40UDKB,Chard Jocelyn,2397,15,1048,43.72131831
00HDNZ,Charfield,3689,53,1281,34.72485769
47UBGB,Charford,5174,24,2171,41.95979899
29UBHF,Charing,2284,26,1021,44.70227671
38UFGW,Charlbury and Finstock,3777,95,1598,42.30871062
00CSFD,Charlemont,11230,59,4773,42.50222618
00MRMR,Charles Dickens,15256,36,6152,40.32511799
00BNFL,Charlestown,10779,38,5015,46.52565173
00ALGR,Charlton,12608,70,5652,44.8286802
24UNGJ,Charlton,2051,28,834,40.66309118
23UBFT,Charlton Kings,5514,96,2322,42.11099021
23UBFU,Charlton Park,4816,128,2166,44.97508306
00EFMC,Charltons,4812,19,2038,42.3524522
43UEGK,Charlwood,2027,27,826,40.74987667
19UHHB,Charminster and Cerne Valley,3731,63,1608,43.09836505
19UHHC,Charmouth,1687,23,777,46.05809129
30UNGD,Charnock,3352,23,1442,43.01909308
00FNNM,Charnwood,10664,57,4185,39.24418605
18UGGQ,Charterlands,1972,31,823,41.73427992
29UCGF,Chartham and Stone Street,4941,101,2011,40.7002631
41UGGK,Chartley,1726,52,707,40.9617613
00MFNE,Charvil,2990,60,1076,35.98662207
00ASGL,Charville,11429,65,4302,37.64108846
00AKGN,Chase,12531,80,5388,42.99736653
34UGGR,Chase,3242,51,1341,41.36335595
47UCHT,Chase,6193,93,2644,42.69336347
41UDGN,Chase Terrace,5068,32,2005,39.56195738
41UDGP,Chasetown,3581,27,1469,41.02206088
30ULGF,Chatburn,1324,13,554,41.8429003
00AMGC,Chatham,10728,48,4761,44.37919463
00LCNN,Chatham Central,14663,80,6070,41.39671281
17UFGK,Chatsworth,1692,42,772,45.62647754
00BEGF,Chaucer,13058,69,5161,39.52366365
33UFGR,Chaucer,2347,30,1027,43.75798892
26UCGS,Chaulden & Shrubhill,5135,65,2055,40.0194742
00BSFD,Cheadle,14261,209,6105,42.80905967
00BSFE,Cheadle Hulme North,14690,153,6313,42.9748128
00BSFF,Cheadle Hulme South,14262,211,5669,39.74898331
41UHGR,Cheadle North East,3581,11,1436,40.10053058
41UHGS,Cheadle South East,3664,26,1514,41.3209607
41UHGT,Cheadle West,4921,46,1940,39.42288153
00BFGH,Cheam,9695,206,3805,39.24703455
41UHGU,Checkley,5402,54,2111,39.07811922
42UFGR,Chedburgh,2175,45,857,39.40229885
40UCGY,Cheddar and Shipham,6115,107,2646,43.27064595
11UBGZ,Cheddington,3243,40,1241,38.26703669
41UHGW,Cheddleton,4474,50,1768,39.51721055
33UHHA,Chedgrave and Thurton,2611,30,1029,39.41018767
23UCGS,Chedworth,1655,62,686,41.45015106
00BNFM,Cheetham,12846,60,4848,37.73937412
13UGGS,Chelford,2597,72,1041,40.08471313
00GLND,Chell and Packmoor,11803,30,4737,40.13386427
00FKNE,Chellaston,12153,133,5107,42.02254587
26UHFS,Chells,6163,27,2446,39.68846341
22UFGH,Chelmer Village and Beaulieu Park,8406,67,3558,42.32690935
22UFGJ,Chelmsford Rural West,2695,40,1103,40.92764378
00CTFC,Chelmsley Wood,10927,26,4558,41.71318752
00AFGH,Chelsfield and Pratts Bottom,14068,175,5543,39.40147853
24UPGM,Cheriton and Bishops Sutton,2138,64,833,38.9616464
12UBFT,Cherry Hinton,8303,94,3546,42.70745514
32UHGF,Cherry Willingham,3761,36,1608,42.75458655
00BXFB,Cherryfield,5823,13,2475,42.50386399
43UGFS,Chertsey Meads,5359,40,2350,43.85146483
43UGFU,Chertsey South and Row Town,5227,50,2079,39.77424909
43UGFT,Chertsey St Ann's,5483,40,2397,43.71694328
11UCGT,Chesham Bois and Weedon Hill,4921,186,1877,38.14265393
26UBFS,Cheshunt Central,7172,48,3043,42.42889013
26UBFT,Cheshunt North,7444,35,2994,40.22031166
19UHHD,Chesil Bank,2118,54,915,43.20113314
41UFHP,Cheslyn Hay North and Saredon,4221,28,1658,39.27979152
41UFHQ,Cheslyn Hay South,4017,43,1491,37.11725168
00AXGB,Chessington North and Hook,8721,62,3417,39.18128655
00AXGC,Chessington South,9488,76,3865,40.7356661
20UBFU,Chester Central,2670,6,1205,45.13108614
20UBFW,Chester East,3348,29,1484,44.32497013
20UBFX,Chester North,4655,39,2051,44.06015038
20UBFY,Chester South,3236,22,1498,46.29171817
20UBFZ,Chester West,3456,12,1505,43.5474537
41UEGD,Chesterton,7111,26,2791,39.24905077
29UCGG,Chestfield and Swalecliffe,7916,79,3507,44.30267812
12UCFX,Cheveley,3901,86,1665,42.68136375
46UBGQ,Cheverell,1980,34,664,33.53535354
35UEFY,Chevington,3223,16,1001,31.05802048
35UCFW,Cheviot,934,28,422,45.18201285
00HANU,Chew Valley North,2307,64,911,39.48851322
00HANW,Chew Valley South,2254,46,887,39.35226264
00CQFC,Cheylesmore,13983,121,6300,45.05470929
45UDGQ,Chichester East,7004,66,3252,46.43061108
45UDGR,Chichester North,5849,106,2521,43.10138485
45UDGS,Chichester South,6339,65,2844,44.86512068
45UDGT,Chichester West,4539,35,2191,48.27054417
19UHHE,Chickerell,5282,40,2262,42.82468762
43ULGJ,Chiddingfold and Dunsfold,3812,136,1484,38.9296957
21UHGP,Chiddingly and East Hoathly,2727,66,1037,38.02713605
19UHHF,Chideock and Symondsbury,1706,33,793,46.48300117
00MBNQ,Chieveley,2710,56,921,33.98523985
22UHGL,Chigwell Row,2161,27,855,39.5650162
22UHGM,Chigwell Village,3937,86,1454,36.93167386
