field_1,LSOA,field_3,field_4,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,JunCURRENT_ENERGY_EFFICIENCY,JunPOTENTIAL_ENERGY_EFFICIENCY,JunENVIRONMENT_IMPACT_CURRENT,JunENVIRONMENT_IMPACT_POTENTIAL,JunENERGY_CONSUMPTION_CURRENT,JunENERGY_CONSUMPTION_POTENTIAL,JunCO2_EMISSIONS_CURRENT,JunCO2_EMISS_CURR_PER_FLOOR_AREA,JunCO2_EMISSIONS_POTENTIAL,JunLIGHTING_COST_CURRENT,JunLIGHTING_COST_POTENTIAL,JunHEATING_COST_CURRENT,JunHEATING_COST_POTENTIAL,JunHOT_WATER_COST_CURRENT,JunHOT_WATER_COST_POTENTIAL,TLSOA_ElecMean,TLSOA_GasMean,TLSOA_PrcnPost2000,TAgePost2000,TAgePre2000,TTotalBldngs,TDay_Jan18,TDay_Jun18,TNit_Jan18,TNit_Jun18,TEfficiency,TPotential_Efficiency,TEfficiencyDiff
3472,E01003654,,,55.75,78.75,49.5,75.75,304.5,133,4.55,53.75,1.925,94.25,60.25,750.25,486.75,137.5,66.75,90.75,55.75,78.75,49.5,75.75,304.5,133,4.55,53.75,1.925,94.25,60.25,750.25,486.75,137.5,66.75,3954,14669,0.0016367,20,700,730,6.214,30.25666667,1.194444444,14.77625,0,2,0
3628,E01003816,,,63.83333333,81.66666667,57.83333333,77.83333333,232.8333333,101.5,4.833333333,43.5,2.75,114.8333333,72.16666667,756.8333333,591.1666667,124.8333333,88.66666667,137,63.83333333,81.66666667,57.83333333,77.83333333,232.8333333,101.5,4.833333333,43.5,2.75,114.8333333,72.16666667,756.8333333,591.1666667,124.8333333,88.66666667,6255,22471,0.030722,20,601,651,6.216618182,31.96027747,1.277066667,15.37148352,1,1,3
351,E01000366,,,56.875,81.625,50.125,76.625,311.75,120.5,5.1875,54.25,2.125,76.5,66.5,884.375,542.5,137,76.5,98.25,56.875,81.625,50.125,76.625,311.75,120.5,5.1875,54.25,2.125,76.5,66.5,884.375,542.5,137,76.5,3601,14500,0.0587372,20,701,722,6.221428571,33.52895833,1.576,15.34933333,0,2,0
1173,E01001225,,,62.8,80.8,60,81.2,259,112.6,2.98,45.6,1.34,75.2,49,496.8,306.8,137,78.8,67.8,62.8,80.8,60,81.2,259,112.6,2.98,45.6,1.34,75.2,49,496.8,306.8,137,78.8,3527,15570,0.0479616,20,481,502,6.225,31.78059524,1.851875,16.00781818,1,1,3
1146,E01001197,,,59.66666667,75.5,54.66666667,72.66666667,267.3333333,153.1666667,4.666666667,47.16666667,2.516666667,94,62.5,786.3333333,530.8333333,118.8333333,84.83333333,96,59.66666667,75.5,54.66666667,72.66666667,267.3333333,153.1666667,4.666666667,47.16666667,2.516666667,94,62.5,786.3333333,530.8333333,118.8333333,84.83333333,3671,15693,0.0561798,20,860,900,6.243333333,31.85428571,2.754444444,15.94428571,1,3,3
2520,E01002650,,,68.5,85.625,57.5,75,313.5,163.125,3.0375,53.25,1.5625,70.5,51.125,394.375,269.75,138.875,96.25,62.25,68.5,85.625,57.5,75,313.5,163.125,3.0375,53.25,1.5625,70.5,51.125,394.375,269.75,138.875,96.25,5348,15323,0.3083538,20,602,623,6.253714286,30.34841912,1.857777778,14.975,1,1,3
1435,E01001498,,,62.75,76.75,57.75,74.25,239.5,140.75,3.975,42.5,2.25,99.5,67.25,677.25,480.25,103,83.25,100,62.75,76.75,57.75,74.25,239.5,140.75,3.975,42.5,2.25,99.5,67.25,677.25,480.25,103,83.25,3626,14717,0.0393701,20,683,703,6.25575,32.15027083,2.185625,14.49349206,0,3,0
1095,E01001142,,,70.66666667,81.33333333,70.66666667,83.33333333,203,115.3333333,2.033333333,35.33333333,1.033333333,70,42,342.6666667,247,90.66666667,75.66666667,58.33333333,70.66666667,81.33333333,70.66666667,83.33333333,203,115.3333333,2.033333333,35.33333333,1.033333333,70,42,342.6666667,247,90.66666667,75.66666667,3402,15140,0.1754386,20,642,663,6.261111111,33.45769231,0.728461538,14.75842105,2,0,1
1039,E01001083,,,63,82.25,55.25,78,228,99.75,4.825,40.25,2.15,100.75,78,809.5,541,121.25,81.75,121,63,82.25,55.25,78,228,99.75,4.825,40.25,2.15,100.75,78,809.5,541,121.25,81.75,4558,20810,0.0175131,20,641,661,6.27,31.94833333,1.4,14.73285714,2,0,1
1497,E01001565,,,66.875,81,61.875,77.375,218.375,121.125,3.7875,38.125,2.1625,95,63.5,609.875,459.25,134.25,91.5,100.375,66.875,81,61.875,77.375,218.375,121.125,3.7875,38.125,2.1625,95,63.5,609.875,459.25,134.25,91.5,3465,16764,0.0957592,20,632,653,6.277111111,32.39015873,2.170833333,14.44555556,0,2,0
3689,E01003878,,,76,78,74,76.5,136.5,123,2.6,24,2.4,75,75,439.5,399.5,95,95,111,76,78,74,76.5,136.5,123,2.6,24,2.4,75,75,439.5,399.5,95,95,3374,13120,0.0160819,20,743,764,6.277272727,32.29933333,0.732222222,14.44142857,3,1,2
3601,E01003789,,,67.5,84.5,62.5,81,191,80.5,3.75,33.5,1.75,87,70,647.5,482,89.5,74.5,113.5,67.5,84.5,62.5,81,191,80.5,3.75,33.5,1.75,87,70,647.5,482,89.5,74.5,4658,20165,0.0033058,20,642,663,6.29047619,31.110625,2.296055556,14.9324256,0,2,0
1920,E01002020,,,54,72.5,58.5,76.5,322,175.5,2.75,52,1.55,39.5,39.5,598,297.5,181,153.5,52.5,54,72.5,58.5,76.5,322,175.5,2.75,52,1.55,39.5,39.5,598,297.5,181,153.5,3060,12787,0.0027322,20,701,721,6.301714286,33.0575,2.000597222,15.615625,0,3,0
484,E01000506,,,67.28571429,79.42857143,59.85714286,74.71428571,287.7142857,179.5714286,3.271428571,49.57142857,1.828571429,74.71428571,51.14285714,508.2857143,354.7142857,113.4285714,92.57142857,74.42857143,67.28571429,79.42857143,59.85714286,74.71428571,287.7142857,179.5714286,3.271428571,49.57142857,1.828571429,74.71428571,51.14285714,508.2857143,354.7142857,113.4285714,92.57142857,3428,13607,0.0303907,20,443,463,6.3218,30.2695619,1.651333333,15.31773095,1,1,3
2480,E01002608,,,67.42857143,81.28571429,68.71428571,84.85714286,237.7142857,127.7142857,2.871428571,41.71428571,1.542857143,69,53.14285714,465.5714286,357.4285714,110.1428571,85.28571429,67.85714286,67.42857143,81.28571429,68.71428571,84.85714286,237.7142857,127.7142857,2.871428571,41.71428571,1.542857143,69,53.14285714,465.5714286,357.4285714,110.1428571,85.28571429,3004,11462,0.0592486,20,730,751,6.335454545,30.7,2.22,14.22428571,1,1,3
4461,E01004699,,,69.53846154,76.30769231,67.61538462,76.46153846,204.7692308,148.4615385,3.923076923,35.61538462,3.169230769,66.15384615,63.07692308,685,559.3076923,142.6153846,123.3846154,129.8461538,69.53846154,76.30769231,67.61538462,76.46153846,204.7692308,148.4615385,3.923076923,35.61538462,3.169230769,66.15384615,63.07692308,685,559.3076923,142.6153846,123.3846154,3843,11152,0.0412882,20,951,972,6.337321429,31.12375,0.156742424,16.67529412,3,3,2
1180,E01001232,,,57.72727273,71.27272727,55.36363636,71.18181818,306,192.3636364,3.163636364,53.72727273,1.963636364,77.36363636,45.18181818,530.9090909,363.2727273,145.7272727,122.7272727,61.45454545,57.72727273,71.27272727,55.36363636,71.18181818,306,192.3636364,3.163636364,53.72727273,1.963636364,77.36363636,45.18181818,530.9090909,363.2727273,145.7272727,122.7272727,3348,13746,0.0031546,20,411,432,6.338888889,32.20866667,2.5575,16.77,1,3,3
1860,E01001957,,,70,76,69.5,77.75,209.5,154,2.1,36.75,1.575,40.75,40.75,383,282.75,82.25,82.5,54.25,70,76,69.5,77.75,209.5,154,2.1,36.75,1.575,40.75,40.75,383,282.75,82.25,82.5,2418,9006,0,20,631,652,6.341428571,32.406,1.248,16.41888889,3,3,2
2208,E01002319,,,67.8,84.6,62.2,81.8,234.8,103.6,3.26,41,1.48,67.4,59.2,543.2,385.2,109.4,83.2,82.8,67.8,84.6,62.2,81.8,234.8,103.6,3.26,41,1.48,67.4,59.2,543.2,385.2,109.4,83.2,3631,13393,0.1383126,20,614,644,6.35,30.15625,1.844545455,14.84333333,0,2,0
3487,E01003671,,,66.2,80,61.6,77.8,210.2,114,3.8,37.2,1.96,86.6,67.2,613.4,438.4,138.6,88.4,99.2,66.2,80,61.6,77.8,210.2,114,3.8,37.2,1.96,86.6,67.2,613.4,438.4,138.6,88.4,4128,18636,0.0017483,20,600,621,6.35,30.45285714,1.646,14.92166667,0,2,0
203,E01000215,,,64.66666667,79,58.66666667,74.77777778,243.5555556,146.1111111,5.344444444,42.77777778,2.877777778,104.7777778,75.44444444,889.7777778,551.6666667,124.1111111,97.66666667,129.1111111,64.66666667,79,58.66666667,74.77777778,243.5555556,146.1111111,5.344444444,42.77777778,2.877777778,104.7777778,75.44444444,889.7777778,551.6666667,124.1111111,97.66666667,5287,19733,0.0404313,20,451,471,6.351666667,30.25177885,1.788,14.17128788,1,1,3
159,E01000169,,,56,75.8,49.4,71.6,310.8,173.4,5.58,54.8,2.72,97.6,65.8,951.6,632.4,131.8,85.4,102.6,56,75.8,49.4,71.6,310.8,173.4,5.58,54.8,2.72,97.6,65.8,951.6,632.4,131.8,85.4,4097,17147,0.0280899,20,691,712,6.368253968,31.30736508,2.418253968,15.55764394,0,3,0
3057,E01003207,,,65,77,52.5,66.5,296,211,3.8,51,2.35,68.5,60,568,403.5,123.5,107.5,86.5,65,77,52.5,66.5,296,211,3.8,51,2.35,68.5,60,568,403.5,123.5,107.5,3080,10081,0.2394636,20,692,732,6.373676587,33.1627619,1.536505952,15.52916667,2,3,2
1726,E01001821,,,61,75,55,75,325,178,2.9,57,1.6,75,38,332,216,223,129,50,61,75,55,75,325,178,2.9,57,1.6,75,38,332,216,223,129,2417,8165,0.0163934,20,630,650,6.376666667,33.04708333,2.25962963,15.855,0,3,2
2497,E01002625,,,63,82.5,54.5,76,223.5,95.5,5.1,43.5,2.3,89.5,71.5,755,534,163.5,79,113,63,82.5,54.5,76,223.5,95.5,5.1,43.5,2.3,89.5,71.5,755,534,163.5,79,4218,18433,0.0039761,20,690,710,6.384305556,32.8796875,1.326875,15.76986111,1,1,3
2979,E01003128,,,69.5,77.125,67.75,78.25,203.625,140.125,2.4375,35.875,1.6125,68.875,54.5,417.75,268.5,93.5,94.5,70.625,69.5,77.125,67.75,78.25,203.625,140.125,2.4375,35.875,1.6125,68.875,54.5,417.75,268.5,93.5,94.5,2351,8251,0.1013025,20,601,631,6.387142857,32.19,1.288333333,16.25307692,3,3,2
4339,E01004567,,,76.7,80.2,79.8,84.6,133,104.3,1.38,23.2,1.05,58.4,48,215.6,161.3,109.3,108.5,59.5,76.7,80.2,79.8,84.6,133,104.3,1.38,23.2,1.05,58.4,48,215.6,161.3,109.3,108.5,2353,9052,0.2977906,20,671,701,6.39,30.4775,1.408571429,16.23285714,3,0,2
