"id","station_name"
183,"North Greenwich"
64,"Cutty Sark"
106,"Greenwich"
69,"Deptford Bridge"
86,"Elverson Road"
152,"Lewisham"
174,"New Cross"
175,"New Cross Gate"
304,"West Silvertown"
307,"King George V"
305,"Pontoon Dock"
306,"London City Airport"
