"station_1","station_2","distance"
21,67,1389.384757804
21,269,1787.398583107
25,161,632.133113811
25,255,770.189422945
33,36,918.547280473
306,307,983.520670238
33,164,630.481721742
36,289,1289.682107543
44,161,269.234581873
44,166,290.022343969
52,1,1249.750598589
52,265,911.472438979
66,67,1322.404416156
66,85,2310.209343675
72,73,1095.573545457
73,1,987.887900983
74,99,1038.049385089
74,122,1044.796723152
74,138,1159.498245941
74,287,551.807814528
74,293,655.138641715
78,270,1301.029804687
80,205,1079.962726103
80,231,1502.999687497
83,193,665.549425635
85,129,1513.397621297
87,255,702.537237089
87,285,743.87289638
96,195,708.20711825
96,287,756.838129881
99,236,633.552488048
108,141,1745.630318313
108,265,1492.380945444
110,209,753.022390719
122,186,989.633671035
129,268,1202.054652599
141,213,1898.970160076
164,244,1007.174825421
166,263,682.549939244
195,205,957.975317736
200,270,1263.416463433
200,289,855.378668937
209,242,700.167556529
229,236,1216.294205549
229,273,937.899387093
231,300,1337.851565227
242,265,611.244004291
244,295,1030.369168681
248,273,842.036573197
248,285,589.962840666
267,268,1161.583960763
299,300,1520.060584359
41,216,350.078064506
41,253,570.072350885
174,253,2123.942335026
175,253,2028.050879344
216,276,432.787707351
225,276,823.426185667
225,295,929.629708469
228,295,760.779523409
3,156,724.341371627
3,295,907.877776703
11,83,931.21157741
11,104,925.82641098
14,92,513.751426244
14,167,675.872445111
15,78,2026.031984299
33,36,918.547280473
305,306,1186.895494583
33,164,630.481721742
36,289,1289.682107543
78,270,1301.029804687
83,193,665.549425635
90,104,606.780247051
90,145,995.142367175
92,145,1735.856910242
101,110,919.055022059
101,227,445.248238833
147,150,581.71358495
147,283,789.155617413
150,227,1108.610428615
156,167,446.267091753
164,244,1007.174825421
193,218,955.663027622
200,270,1263.416463433
200,289,855.378668937
218,283,936.103701316
244,295,1030.369168681
11,28,1076.607648078
11,249,1785.442777083
23,41,938.080956702
23,157,1773.187095957
28,107,951.96207571
41,42,2174.547912023
42,183,1796.461959996
43,183,1607.823648524
43,289,1568.034311877
45,207,1626.231455341
45,243,1407.298034371
71,172,840.982006722
71,297,1233.055140228
94,254,633.547045449
94,290,715.279803745
107,285,1364.488894081
142,290,978.356937761
142,297,1188.561611695
144,207,1187.853234092
144,282,2348.399130016
157,233,1312.160108028
172,282,2274.082430259
233,279,633.421443083
247,289,1588.171820811
249,254,945.799699033
279,285,823.246266975
2,156,611.920791196
6,46,3244.890005527
11,104,925.82641098
11,94,3175.274183309
14,92,513.751426244
14,167,675.872445111
46,50,5401.806739973
46,53,3319.569378585
53,214,3477.544281961
62,168,2059.162684139
62,280,1989.598216534
75,210,1779.73773095
75,222,1135.557554437
90,104,606.780247051
90,145,995.142367175
92,145,1735.856910242
