,Time (mins),Distance (m),Size (Moment Magnitude),Time (mins)_standard,Distance (m)_standard,Size (Moment Magnitude)_standard
52,22056,14774,2.1,-1.557364938651099,-1.3519787944489912,-0.20115030072230236
53,22069,23013,2.0,-1.555046723843047,-0.7811329167450343,-0.49783216019472265
54,22077,22880,2.4,-1.553620130115015,-0.7903479309135774,0.6888952776949573
55,22142,24178,2.4,-1.5420290560747547,-0.7004149354942624,0.6888952776949573
56,22191,30948,2.2,-1.5332911694905587,-0.23134992856917586,0.09553155875011796
57,22229,37244,1.7,-1.5265148492824065,0.20487359928907303,-1.387877738611983
58,22238,23518,2.5,-1.5249099313383705,-0.7461435772328971,0.9855771371673776
59,22292,36191,1.8,-1.5152804236741544,0.1319156299697058,-1.0911958791395626
60,22315,21957,2.8,-1.5111789667060622,-0.8542987435268499,1.8756227155846372
61,22361,23041,2.2,-1.5029760527698781,-0.7791929137621831,0.09553155875011796
62,22366,38054,2.3,-1.502084431689858,0.2609951141501247,0.39221341822253697
63,22375,24038,2.0,-1.5004795137458222,-0.7101149504085182,-0.49783216019472265
64,22411,40999,1.6,-1.494059841969678,0.4650418564535782,-1.6845595980844026
65,22474,49480,1.9,-1.4828254163614258,1.0526549027950345,-0.794514019667143
66,22490,52648,1.6,-1.4799722289053618,1.272152383140481,-1.6845595980844026
67,22492,69002,1.8,-1.479615580473354,2.4052526967671968,-1.0911958791395626
68,22560,38435,2.6,-1.4674895337850817,0.28739301188106386,1.282258996639798
69,22614,23854,1.9,-1.4578600261208656,-0.722863541438683,-0.794514019667143
70,22629,14316,2.2,-1.4551851628808055,-1.383711700382771,0.09553155875011796
71,22635,69664,1.2,-1.4541152175847816,2.451119910147464,-2.8712870359740834
72,22645,51454,1.6,-1.4523319754247415,1.189425113086042,-1.6845595980844026
73,22655,22770,2.7,-1.4505487332647014,-0.7979693712033498,1.5789408561122182
74,22667,62972,1.9,-1.4484088426726534,1.987459197246034,-0.794514019667143
75,22673,24522,2.0,-1.4473388973766295,-0.6765806131335195,-0.49783216019472265
76,22677,35429,2.1,-1.4466256005126135,0.07911983450782752,-0.20115030072230236
77,22700,34137,2.3,-1.4425241435445213,-0.01039744598659077,0.39221341822253697
78,22721,22656,2.5,-1.4387793350084372,-0.8058679547763867,0.9855771371673776
79,22898,23342,2.6,-1.4072159487757288,-0.758337881696533,1.282258996639798
80,22966,51233,2.0,-1.3950899020874568,1.174112946685681,-0.49783216019472265
81,22977,23000,2.7,-1.3931283357114126,-0.7820336324156437,1.5789408561122182
82,22993,50422,1.9,-1.3902751482553486,1.1179221460038131,-0.794514019667143
83,23030,24415,2.7,-1.3836771522632005,-0.6839941959608435,1.5789408561122182
84,23118,21407,2.6,-1.3679846212548483,-0.8924059449757121,1.282258996639798
85,23139,49947,1.9,-1.3642398127187643,1.0850113811161592,-0.794514019667143
86,23201,24269,2.1,-1.3531837113265162,-0.6941099257999961,-0.20115030072230236
87,23210,26326,2.3,-1.35157879338248,-0.5515889923812511,0.39221341822253697
88,23281,21623,2.7,-1.338917774046196,-0.8774402076794316,1.5789408561122182
89,23303,22406,2.7,-1.3349946412941078,-0.823189409980415,1.5789408561122182
90,23307,37396,2.1,-1.3342813444300918,0.21540504405312222,-0.20115030072230236
91,23333,45374,2.2,-1.3296449148139877,0.7681673225240735,0.09553155875011796
92,23342,19974,2.7,-1.3280399968699517,-0.9916925262052024,1.5789408561122182
93,23367,36250,2.0,-1.3235818914698516,0.13600349339785647,-0.49783216019472265
94,23432,22258,2.3,-1.3119908174295916,-0.8334437114611998,0.39221341822253697
95,23503,37589,2.2,-1.2993297980933074,0.22877720747063207,0.09553155875011796
96,23549,40017,2.4,-1.2911268841571233,0.397003180412155,0.6888952776949573
97,23617,23510,2.4,-1.279000837468851,-0.746697863799426,0.6888952776949573
98,23647,8518,2.4,-1.273651110988731,-1.7854308894745954,0.6888952776949573
99,23689,39383,1.6,-1.2661614939165629,0.3530759700147392,-1.6845595980844026
100,23732,37803,2.3,-1.2584935526283907,0.2436043731252803,0.39221341822253697
101,23847,12839,2.6,-1.2379862677879305,-1.4860468577281702,1.282258996639798
102,23898,37623,1.6,-1.2288917327717264,0.23113292537837993,-1.6845595980844026
103,23933,52897,1.8,-1.2226503852115862,1.2894045525236932,-1.0911958791395626
104,23986,53157,2.3,-1.2131992017633741,1.3074188659358827,0.39221341822253697
105,24000,50402,2.3,-1.210702662739318,1.1165364295874909,0.39221341822253697
106,24033,49147,2.2,-1.204817963611186,1.0295827244632687,0.09553155875011796
107,24061,36940,2.1,-1.199824885563074,0.1838107097609746,-0.20115030072230236
108,24120,26007,2.6,-1.1893037568188378,-0.5736911692215912,1.282258996639798
109,24200,71502,1.8,-1.1750378195385176,2.57846724880748,-1.0911958791395626
110,24238,37577,2.1,-1.1682614993303655,0.22794577762083873,-0.20115030072230236
111,24244,49093,2.1,-1.1671915540343414,1.0258412901391987,-0.20115030072230236
112,24322,22232,1.9,-1.1532822651860293,-0.8352451428024187,-0.794514019667143
113,24347,21757,2.3,-1.1488241597859292,-0.8681559076900724,0.39221341822253697
114,24407,22182,2.5,-1.138124706825689,-0.8387094338432244,0.9855771371673776
115,24431,38915,2.3,-1.133844925641593,0.32065020587279824,0.39221341822253697
116,24433,25409,2.8,-1.1334882772095851,-0.615124090069627,1.8756227155846372
117,24535,11088,2.0,-1.1152992071771768,-1.6073663299771845,-0.49783216019472265
118,24609,36514,1.8,-1.1021032151928807,0.15429495009331037,-1.0911958791395626
119,24676,23313,2.4,-1.0901554927206123,-0.7603471705002003,0.6888952776949573
120,24716,24584,2.3,-1.0830225240804523,-0.6722848922429204,0.39221341822253697
121,24744,52642,2.3,-1.0780294460323403,1.2717366682155844,0.39221341822253697
122,24804,19814,1.9,-1.0673299930721,-1.0027782575357804,-0.794514019667143
123,24820,21355,2.1,-1.064476805616036,-0.89600880765815,-0.20115030072230236
124,24941,36658,1.7,-1.0428995754795518,0.16427210829083067,-1.387877738611983
125,24952,10240,2.4,-1.0409380091035076,-1.6661207060292484,0.6888952776949573
126,25117,22568,2.0,-1.0115145134628474,-0.8119651070082047,-0.49783216019472265
127,25118,51398,2.0,-1.0113361892468433,1.1855451071203396,-0.49783216019472265
128,25226,24601,2.6,-0.992077173918411,-0.6711070332890465,1.282258996639798
129,25244,50789,2.3,-0.988867338030339,1.1433500422433267,0.39221341822253697
130,25248,22586,1.9,-0.988154041166323,-0.8107179622335147,-0.794514019667143
131,25265,25138,2.7,-0.9851225294942549,-0.6339005475107937,1.5789408561122182
132,25356,20326,2.3,-0.9688950258378907,-0.9673039172779305,0.39221341822253697
133,25597,35966,2.3,-0.9259188897809261,0.11632632028608032,0.39221341822253697
134,25632,52169,1.9,-0.919677542220786,1.238964474969563,-0.794514019667143
135,25779,53059,2.1,-0.8934638824681976,1.3006288554959036,-0.20115030072230236
136,26151,23679,2.1,-0.8271272741147088,-0.7349885600815029,-0.20115030072230236
137,26179,23063,2.7,-0.8221341960665967,-0.7776686257042287,1.5789408561122182
138,26282,22417,2.8,-0.8037668018181844,-0.8224272659514378,1.8756227155846372
139,26655,32231,2.2,-0.7372518692486915,-0.14245622046210257,0.09553155875011796
140,26766,23265,1.8,-0.7174578812722472,-0.7636728898993738,-1.0911958791395626
