airpol coef,airpol pval,depriv coef,depriv pval,lifest coef,lifest pval,unempl coef,unempl pval,hlthserv coef,hlthserv pval
-3.976098145,2.23E-10,-7.544515641,1.46E-62,0.738035419,0.000114823,-3.89657604,8.46E-22,-0.944834708,0.03168291
-4.724751228,1.30E-06,-7.011612885,7.84E-45,0.444100576,0.02459493,-3.694417664,1.35E-14,-0.525664018,0.161615529
-3.755387726,5.20E-10,-7.708666918,2.10E-76,0.993605838,8.66E-08,-4.101062751,3.28E-28,-1.042162951,0.022762917
-3.949385618,2.07E-08,-7.23511877,9.59E-48,0.562013029,0.011061436,-3.555593073,5.63E-15,-0.964038045,0.035339822
-4.328933336,7.67E-11,-7.450973128,1.66E-58,0.674934595,0.000417936,-3.996581029,7.80E-21,-0.757438498,0.058177357
-4.476247868,0.010260161,-6.599579114,3.09E-23,0.360596462,0.129856231,-2.936917292,9.05E-07,-0.223478769,0.353689815
-3.493941156,5.29E-09,-7.601010892,3.54E-83,1.22119829,2.91E-09,-4.147968607,6.74E-31,-1.280970851,0.008233294
-3.485887829,6.99E-09,-7.487702297,8.02E-82,1.236400677,2.82E-09,-4.177924883,5.93E-31,-1.27556594,0.007539914
-4.045433223,0.000765651,-6.692158534,9.94E-29,0.37525271,0.127760265,-3.059013056,1.28E-08,-0.562037014,0.17705387
-3.785108266,6.85E-05,-6.837877787,2.69E-33,0.424980756,0.086114778,-3.161049791,6.00E-10,-0.840975573,0.071581313
-3.828576674,0.138621911,-6.72002166,1.46E-15,0.47677245,0.078230388,-2.576276428,1.59E-05,0.126823339,0.386662369
-4.186757028,2.23E-10,-7.317946653,5.27E-64,0.851270159,1.53E-06,-4.235637661,1.17E-23,-0.858272024,0.030701351
-6.229786552,1.70E-06,-7.188577016,6.60E-30,0.490124329,0.046476041,-3.096194443,8.40E-14,-0.752555617,0.171023923
-6.65820862,1.31E-05,-6.821834719,1.37E-29,0.751846799,0.014917387,-3.240195145,5.48E-11,-0.549670568,0.260264834
-4.289033764,0.039546041,-5.873018551,1.97E-11,0.089122489,0.370821353,-3.062002713,7.46E-06,-1.041945614,0.109573268
-5.584684102,0.000131135,-6.686715009,5.01E-19,0.223753746,0.249576795,-3.181915871,1.50E-10,-0.963934296,0.116843554
-5.03128908,0.014300635,-6.095140532,1.56E-12,0.142329959,0.333372757,-3.216925233,1.12E-05,-1.030613553,0.112515368
-6.183155529,6.58E-07,-7.359554569,3.87E-33,0.528225161,0.028257397,-3.002051183,9.73E-15,-0.706251048,0.180083019
-3.330065703,0.002243932,-5.350410672,4.92E-33,1.304726089,0.001362289,-5.058130465,1.04E-11,-1.660811907,0.024348214
-3.649784904,0.000138302,-5.41626628,1.66E-36,1.463750393,0.000500726,-5.119716737,3.54E-15,-1.717010582,0.031502843
-2.742105572,0.020965382,-5.424967563,2.75E-23,1.58688408,0.000695978,-4.961170446,1.19E-07,-0.382027109,0.364597477
-2.78243501,0.021413221,-5.35723099,7.01E-23,1.6717518,0.000615385,-5.02779401,9.21E-08,-0.103476265,0.39641601
-2.788992433,0.022963411,-5.332653904,1.24E-22,1.701241927,0.000753856,-5.063658884,8.45E-08,0.054873474,0.398056525
-3.912387033,3.36E-08,-5.694847216,5.06E-45,1.400282752,6.96E-05,-4.612144478,2.89E-20,-2.122163019,0.002722001
-3.227051341,0.006087409,-5.345874755,5.58E-28,1.665593063,0.000707541,-5.300826274,2.32E-10,-0.769722215,0.275254
-2.321164358,0.04328782,-5.78744519,8.65E-19,1.164999256,0.008510221,-4.739767263,2.49E-06,-0.403639259,0.34590788
-3.893816898,6.69E-10,-5.97319299,1.34E-58,1.556525482,7.08E-07,-4.232694412,4.09E-25,-2.117482643,0.002816855
-2.607435028,0.026348172,-5.588789823,2.98E-24,1.34154958,0.001839799,-4.65729834,1.70E-07,-0.784709742,0.229366459
-3.085808599,0.008060458,-5.360515251,7.35E-28,1.587587106,0.000477121,-5.147365587,1.87E-09,-0.990971979,0.196250286
-3.235422052,3.24E-08,-7.340447192,8.96E-88,1.487358642,3.66E-10,-4.082932207,1.84E-32,-1.785738598,0.000558533
-3.247604964,1.25E-08,-6.518933129,3.46E-78,1.698461824,9.88E-10,-4.059468908,1.37E-30,-2.299258693,7.17E-05
-3.260884426,6.01E-09,-6.971150986,7.72E-90,1.890069936,3.90E-12,-3.994582236,5.65E-33,-2.350617678,7.05E-05
-3.102133243,2.15E-07,-6.837787224,1.02E-75,1.156640048,1.40E-07,-4.039172587,5.21E-29,-1.597152775,0.000538422
-3.418752226,6.14E-10,-6.672260488,3.29E-86,1.991586686,1.82E-12,-3.999634177,3.53E-32,-2.39487329,0.000149587
-3.360730325,1.23E-09,-6.763125092,7.39E-88,1.983934554,1.62E-12,-3.991622832,1.41E-32,-2.402472812,0.000112742
-1.982838931,0.142553226,-6.80982092,8.82E-25,0.693370718,0.042256781,-2.581379326,1.49E-07,-1.535770537,0.042445847
-0.15169112,0.397686769,-6.540602081,4.52E-14,0.570146299,0.089643411,-2.041703494,0.000809981,-0.557739972,0.304302635
-3.410525226,3.24E-09,-7.780013142,2.37E-83,1.168018497,7.75E-08,-3.86427193,6.76E-28,-1.652578158,0.001761484
-0.043604425,0.398583188,-6.752601045,1.41E-07,0.754812291,0.131524915,-1.864934352,0.016040404,0.129567874,0.395574076
-3.519408309,5.22E-09,-7.66730921,2.20E-71,0.938549546,1.91E-06,-3.744507772,5.41E-24,-1.428355422,0.004797941
-3.037335764,0.000226105,-7.191288526,1.52E-44,0.749130536,0.001135035,-3.119647631,7.83E-13,-1.650818234,0.01134036
-3.26254766,5.25E-09,-7.659698857,7.88E-85,1.361677262,5.10E-08,-3.702453635,8.46E-27,-2.22210988,0.000189301
-1.28699508,0.324414562,-6.836018356,8.89E-18,0.748549802,0.089035514,-2.279591727,2.09E-05,-1.123838126,0.133620823
-2.151913454,0.092721667,-6.609103108,1.15E-26,0.48732143,0.066918167,-2.61045809,1.99E-08,-1.357021819,0.039197878
0.706729369,0.385074716,-6.752531211,7.14E-08,0.701361355,0.110245701,-1.874918832,0.013192556,0.317263061,0.379133876
-3.293832854,4.25E-08,-7.639028306,9.10E-73,1.087777843,1.39E-06,-3.599295062,2.97E-23,-1.821374138,0.001011174
-2.990953665,3.28E-05,-7.388443845,5.32E-53,1.021264884,0.000129016,-3.226397875,2.16E-14,-1.929714942,0.003336245
-3.913532704,0.001407325,-8.12027621,2.56E-46,1.557437294,5.03E-07,-3.121056663,4.51E-12,1.409656904,0.04194877
-3.812206022,0.001851007,-7.533144141,6.88E-43,2.069348228,8.31E-07,-2.939504106,5.09E-14,0.732770258,0.24105338
-4.613936456,0.00017413,-7.229685547,4.66E-32,1.955715424,4.41E-05,-2.733491937,1.02E-09,-0.1262016,0.391644287
-3.712823401,0.001763794,-7.911231872,2.86E-45,1.728095952,2.07E-07,-3.094737078,2.03E-13,1.384762668,0.040458059
-5.076268387,3.89E-06,-7.731351415,1.63E-40,1.475116021,1.02E-07,-2.987838889,2.92E-13,0.012828019,0.398488466
-4.464857906,0.000219634,-8.147805885,1.50E-44,1.446207993,8.88E-07,-3.232396218,7.95E-12,1.088435182,0.07643356
-4.264217447,0.000160318,-7.451262992,6.90E-41,1.895259427,1.35E-07,-2.916017622,1.01E-13,0.416044535,0.306190763
-4.484910687,4.39E-05,-7.852347913,3.69E-42,1.60694445,6.62E-08,-3.173779623,1.41E-13,0.812910878,0.092642451
-3.463288851,0.005685159,-8.10573336,1.01E-47,1.68196875,3.45E-07,-3.052710104,7.33E-13,1.578417348,0.036868176
-4.095853318,0.000593698,-7.422234466,1.55E-40,2.021010784,6.45E-07,-2.898091614,2.03E-13,0.482579884,0.304576675
-4.59116382,0.001173926,-7.278032671,3.96E-33,2.196175872,0.000175824,-2.813587247,8.77E-11,-0.029828167,0.398389638
-4.621316648,3.39E-05,-7.392117176,2.07E-37,1.771997337,1.11E-06,-2.821587268,8.80E-12,0.052483291,0.396910741
-7.195619483,2.22E-06,-6.826863447,2.03E-45,1.563936375,6.84E-06,-3.08375796,7.11E-12,-0.578679875,0.149234706
-7.366745594,9.59E-06,-6.975200869,3.41E-45,1.588350771,5.37E-06,-3.426076278,1.65E-11,-0.490263863,0.197185307
-6.479919269,9.03E-05,-6.687687255,7.62E-41,1.514613396,4.39E-05,-3.452908805,1.20E-10,-0.514661548,0.192337717
-7.367222704,1.12E-07,-6.8941108,1.22E-49,1.559551851,4.01E-06,-2.621786663,9.05E-13,-0.468222234,0.235989531
-6.693726904,0.000138136,-6.946900531,1.30E-43,1.381209215,3.26E-05,-3.809879573,5.87E-12,-0.344291384,0.294747915
-7.365872649,8.94E-07,-6.959810529,4.49E-50,1.563390658,1.31E-05,-2.706893494,1.33E-12,-0.28117583,0.327745936
-6.854815157,2.06E-05,-6.799989184,3.95E-43,1.552985928,1.60E-05,-3.384378949,2.50E-11,-0.559413852,0.161697799
-2.607510618,0.099197664,-5.940019199,1.25E-15,-0.132255135,0.364058461,-2.249090531,0.000864459,0.405712462,0.339813702
-1.267984818,0.302090445,-5.682158361,3.01E-10,-0.001606949,0.398630231,-1.421861627,0.040028201,-0.572047463,0.336882935
-4.027462368,0.005884877,-6.211528059,9.83E-23,0.600089783,0.071393807,-2.797387717,4.65E-06,0.46722549,0.275973375
-3.972513805,0.007368031,-6.092857161,7.03E-21,0.38485683,0.165333532,-2.868386392,1.19E-05,0.513640664,0.269175476
-5.927879532,0.005286007,-6.21463179,1.68E-20,-0.186560701,0.336855943,-3.189833448,4.92E-06,0.327622892,0.344673682
-5.499640386,0.002262205,-6.472346282,6.88E-31,0.590782788,0.02484881,-3.510614356,4.79E-08,0.247578945,0.352236339
-3.136069163,0.043086669,-6.034507523,9.12E-18,0.579843879,0.084402739,-2.319353731,0.000106686,0.224340952,0.379828376
-3.454925405,0.209459725,-6.078807404,6.27E-13,0.117185599,0.376625093,-2.342447857,3.35E-05,0.108235431,0.392673618
-5.929255045,0.135615164,-5.855522562,4.91E-10,0.840530343,0.042532178,-1.387237487,0.001863967,-0.18462141,0.386226051
-4.982182999,0.224248331,-6.012171426,6.20E-10,1.26556951,0.019105788,-1.255562942,0.006607912,0.427085211,0.354235859
-5.17920857,0.123184143,-6.194625823,3.15E-11,-0.27334146,0.297708786,-4.048745122,0.000190279,0.784320666,0.240397433
-5.264956536,0.184770593,-5.59799563,3.81E-08,0.628768657,0.102104171,-1.498024293,0.001557515,-0.588165213,0.317582018
-5.932354915,0.113399851,-5.9358229,8.81E-11,0.785215697,0.043259098,-1.439609621,0.001014689,-0.135934637,0.390552036
-6.004202417,0.078444854,-6.099659622,1.88E-12,0.772880776,0.032736544,-1.50807848,0.000463881,0.001475091,0.398633438
-5.484592556,0.001248313,-6.480447208,1.19E-34,1.282308344,0.00029715,-3.429090349,1.48E-07,-0.16564612,0.37258618
-6.862841539,4.93E-05,-6.36783585,1.62E-37,1.411246897,0.000518801,-3.305296199,1.80E-09,-0.517097232,0.196167849
-4.868503197,0.001003409,-6.41561712,8.08E-34,0.785473155,0.008442131,-3.189753998,3.14E-06,-0.044517293,0.396669362
-5.52555434,0.00066422,-6.396185965,3.05E-35,1.363560694,0.000259552,-3.416677894,4.28E-08,-0.24816078,0.340885093
-5.662778237,0.000114751,-6.17734671,2.69E-35,1.311721543,0.001608663,-3.442492726,5.37E-09,-0.449191453,0.231566728
-6.681733981,1.01E-05,-6.090812529,3.64E-36,1.246691381,0.002507067,-3.439530577,5.38E-09,-0.620054148,0.178444078
-4.259799272,0.00014047,-6.251757353,4.37E-38,1.178681594,0.001017525,-3.377692905,2.36E-08,-0.311106629,0.305904495
-5.676714954,3.44E-06,-8.244281681,3.49E-40,1.227139814,3.92E-06,-3.535658426,7.84E-13,0.256654343,0.353219222
-6.46529371,0.00094364,-7.839551768,1.91E-29,1.524648315,2.33E-05,-1.986817868,4.29E-09,-0.420170064,0.32559883
-5.773148342,7.71E-05,-7.73917657,6.87E-31,1.165310718,1.98E-05,-2.713057862,9.71E-13,-0.446735945,0.326959792
-5.849025878,0.000472845,-8.614186845,2.63E-34,0.920389728,0.002673948,-2.880463311,3.22E-10,0.039961462,0.397855656
-4.01470742,0.020275676,-7.268817565,2.13E-21,1.165327279,0.016292223,-1.919058253,2.28E-07,0.353891292,0.362177197
-3.177455347,0.075412747,-7.535785605,1.22E-15,1.267250508,0.022233787,-1.81471687,2.78E-05,0.594719156,0.321035832
-6.457370313,0.000101128,-7.431686125,1.54E-24,1.196596475,0.005357982,-3.138003955,7.18E-07,0.430537095,0.327577769
-7.665278922,0.000191648,-7.215869373,1.22E-43,1.333201161,0.000457774,-3.262838092,6.38E-11,0.081851234,0.392220409
-5.767036558,0.00081256,-7.100427959,6.01E-40,0.951309292,0.002614914,-3.233310517,9.02E-09,0.345457534,0.317358974
-7.821213586,4.08E-05,-7.148317977,5.28E-45,1.467270806,9.26E-05,-3.286946332,3.66E-11,-0.108659728,0.386015711
-7.997094605,5.45E-05,-7.176162551,4.80E-43,1.348436982,0.000259803,-3.551959599,3.94E-11,-0.164362886,0.371472601
-7.505057806,0.000452043,-7.219990576,5.99E-42,1.177221353,0.001650158,-3.319124835,2.29E-10,0.106642631,0.388568453
-7.529307705,4.39E-05,-7.108760279,9.49E-42,1.100601271,0.000734722,-3.696201697,9.27E-12,0.015627987,0.398389219
-7.715448572,2.38E-05,-7.108365716,4.51E-44,1.453260101,3.70E-05,-3.713698573,1.22E-11,-0.355356524,0.28481615
-7.814463361,4.46E-07,-5.976256038,6.32E-35,1.140887844,0.003283273,-3.355670822,1.18E-09,-0.578498233,0.268610602
-5.386814562,0.000235601,-5.519214441,1.26E-26,0.992263465,0.024471858,-3.831416164,4.71E-09,-1.175714119,0.098969892
-4.035482469,1.69E-05,-5.630761944,1.77E-35,1.083791848,0.006085752,-4.418311958,5.03E-12,-1.856521988,0.003010864
-4.577916408,0.003018433,-5.438900427,8.02E-19,1.04242655,0.021890168,-3.647724188,1.84E-05,-0.784509786,0.230089054
-7.308942986,1.08E-05,-5.992560803,6.15E-25,1.117007903,0.005446316,-3.273536678,3.37E-09,-0.305583766,0.361646247
-3.30587752,0.126134275,-5.838660734,4.49E-08,0.418457683,0.166985458,-1.681962404,0.070503692,-0.637240359,0.24843627
-2.943892071,0.142196244,-5.824713429,7.10E-07,0.252231247,0.240492556,-1.279052276,0.189017768,-0.92384508,0.15490551
-2.855884595,0.163640191,-6.43587724,2.62E-09,0.52129871,0.139529937,-1.638724831,0.083154843,-0.490421253,0.310664382
-2.288747433,0.264851425,-5.254441867,0.00055528,0.071317004,0.380670747,-1.302387122,0.172526627,-0.588487481,0.261546883
-1.304339556,0.364712673,-4.286680945,0.021092898,0.023661605,0.396747628,-1.045745453,0.264235574,-0.275020283,0.36212981
